adresse;rang;role;url;texte_alternatif
/actualites/video-immersive-360/;0;contenu;https://www.bluevistaprod.com/wp-content/uploads/2014/02/insta360pro.png;insta360pro
/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;0;entete;https://www.bluevistaprod.com/wp-content/uploads/2023/05/Capture_From_Showreel-2.jpg;
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;0;entete;https://www.bluevistaprod.com/wp-content/uploads/2023/05/Inauguration_Intercontinental-6.jpg;
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;1;contenu;https://www.bluevistaprod.com/wp-content/uploads/2019/12/Inauguration_Intercontinental-11.jpg;Inauguration_Intercontinental-11
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;2;contenu;https://www.bluevistaprod.com/wp-content/uploads/2019/12/Inauguration_Intercontinental-8.jpg;Inauguration_Intercontinental-8
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;3;contenu;https://www.bluevistaprod.com/wp-content/uploads/2019/11/Inauguration_Intercontinental-6.jpg;Inauguration_Intercontinental-6
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;4;contenu;https://www.bluevistaprod.com/wp-content/uploads/2019/11/Inauguration_Intercontinental-1.jpg;Inauguration_Intercontinental-1
/actualites/animation-3d-grande-arche-de-la-defense/;0;entete;https://www.bluevistaprod.com/wp-content/uploads/2023/05/image-article-contenu-1.png;
/actualites/animation-3d-grande-arche-de-la-defense/;1;contenu;https://www.bluevistaprod.com/wp-content/uploads/2023/05/image-article-contenu-1-1.png;eiffage-batiment-2
/actualites/bluevista-video-showreel-2023/;0;entete;https://www.bluevistaprod.com/wp-content/uploads/2023/10/230221-BV-Showreel2023-EDIT-009.00_00_01_11.Still007.png;
/actualites/bluevista-video-showreel-2023/;1;contenu;https://www.bluevistaprod.com/wp-content/uploads/2023/11/Photo-DP-3-scaled-1.jpg;My Ginger salon de yoga immersif
/actualites/bluevista-video-showreel-2023/;2;contenu;https://www.bluevistaprod.com/wp-content/uploads/2023/10/230221-BV-Showreel2023-EDIT-009.00_01_09_07.Still010.png;Amplitude_CloseUp-1
/actualites/bluevista-video-showreel-2023/;3;contenu;https://www.bluevistaprod.com/wp-content/uploads/2023/10/230221-BV-Showreel2023-EDIT-009.00_01_20_15.Still011.png;VR_Vince
/actualites/bluevista-video-showreel-2023/;4;contenu;https://www.bluevistaprod.com/wp-content/uploads/2023/10/230221-BV-Showreel2023-EDIT-009.00_01_37_05.Still012.png;Drone_FPV
