site;type;adresse;titre;modifie_le;mots_ancien;clics_12m;impressions_12m;position;existe_dans_sanity;genre;nb_paragraphes;nb_sections;videos;titre_seo;description_seo;image;redirection_proposee;texte_reecrit;canonique;donnees_structurees;verifie_au_rendu;note
fr;page;/;Accueil;2026-08-10;980;785;31884;25.4;non;;;;;;;;/;;;;;
fr;page;/studio-animation-3d-lyon/;Studio d’animation 3D à Lyon;2026-08-01;594;161;14830;26.2;oui;ville;5;2;;oui;oui;non;/studio-animation-3d-lyon/;;;;;
ch;page;/studio-danimation-3d-a-geneve/;Studio d’animation 3D à Genève;2026-08-01;573;153;5423;15.7;non;;;;;;;;(bluevista.ch — chantier séparé);;;;;
en;page;/;Home;2025-04-09;565;137;6846;7.8;non;;;;;;;;/;;;;;
fr;page;/nos-competences/video-mapping/;Vidéo Mapping;2026-08-01;665;97;13340;18.6;oui;savoir-faire;4;4;6;oui;oui;non;/savoir-faire/video-mapping/;;;;;
fr;page;/nos-competences/live-streaming-webtv/;Live streaming / WEBTV;2026-08-10;813;85;3753;10.2;oui;savoir-faire;5;3;1;oui;oui;non;/savoir-faire/live-streaming-webtv/;;;;;
fr;réalisation;/nos-realisations/engie-home-services-video-thermostat-migo/;ENGIE HOME SERVICES – Vidéo Thermostat MiGo;2026-08-01;141;63;10135;11.0;non;;;;;;;;/realisations/engie-home-services-video-tuto-thermostat-migo/;;;;;
fr;page;/studio-animation-3d-paris/;Studio d’animation 3D à Paris;2026-08-10;840;54;17952;30.7;oui;ville;12;2;;oui;oui;non;/studio-animation-3d-paris/;;;;;
fr;page;/agence/;L’agence;2024-01-29;301;36;3008;5.1;oui;agence;;;;non;non;non;/agence/;;;;;
ch;page;/nos-competences/video-mapping/;Vidéo Mapping;2026-08-01;690;32;869;12.3;oui;savoir-faire;4;4;6;oui;oui;non;/savoir-faire/video-mapping/;;;;;
ch;page;/nos-competences/motion-design/;Motion Design;2026-08-01;1108;29;3837;17.1;oui;savoir-faire;5;3;2;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
ch;page;/nos-competences/animation-3d/;Animation 3D;2026-08-01;518;28;1244;28.3;oui;savoir-faire;4;4;3;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
en;page;/our-skills/live-streaming-webtv/;Live streaming / WEBTV;2026-08-01;168;26;970;11.0;oui;savoir-faire;5;3;1;oui;oui;non;/;;;;;
fr;page;/nos-competences/animation-3d/;Animation 3D;2026-08-01;506;23;1805;34.1;oui;savoir-faire;4;4;3;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
ch;page;/;Accueil;2025-04-09;653;23;1268;10.8;non;;;;;;;;/;;;;;
fr;page;/contact-devis/;Contact & Devis;2025-09-05;127;18;1083;3.4;non;;;;;;;;/contact/;;;;;
fr;réalisation;/nos-realisations/verizon-connect-video-de-presentation/;Verizon Connect – Vidéo de présentation;2026-08-01;103;17;6474;7.1;oui;réalisation;;;oui;non;non;oui;/realisations/verizon-connect-video-de-presentation/;;;;;
fr;page;/nos-realisations/;Nos réalisations;2024-08-16;600;15;1758;3.9;non;;;;;;;;/realisations/;;;;;
fr;page;/video-publicitaire/;Vidéo Publicitaire;2026-08-01;714;14;29507;25.6;non;;;;;;;;/;;;;;
fr;page;/realisation-film-entreprise-lyon/;Film d’entreprise sur Lyon;2026-08-01;1044;14;13485;32.4;oui;ville;3;2;;oui;oui;non;/realisation-film-entreprise-lyon/;;;;;
fr;page;/nos-competences/motion-design/;Motion Design;2026-08-01;1088;14;9312;61.7;oui;savoir-faire;5;3;2;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
fr;réalisation;/nos-realisations/thx-medical-dosamat-digital-2-0/;THX Médical – Dosamat digital 2.0;2026-08-01;164;13;714;6.7;non;;;;;;;;/realisations/thx-medical-dosamat-digital-2-0-motion-design/;;;;;
ch;page;/nos-competences/video-aerienne-drone/;Vidéo aérienne / drone;2026-08-01;345;12;1285;16.3;oui;savoir-faire;5;4;3;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
fr;page;/mentions-legales/;Mentions légales;2024-01-22;792;12;1026;3.7;non;;;;;;;;/mentions-legales/;;;;;
fr;réalisation;/nos-realisations/stann-lapplication-de-gestion-dentreprise/;STANN. L’APPLICATION DE GESTION D’ENTREPRISE;2026-08-01;107;11;7507;8.3;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;réalisation;/nos-realisations/eiffage-energie-expercite/;EIFFAGE Energie – Expercité;2026-08-01;179;11;3062;7.2;non;;;;;;;;/realisations/eiffage-energie-expercite-video-3d-timelapse/;;;;;
fr;page;/nos-competences/aftermovie-captation-evenementielle/;Aftermovie / Captation événementielle;2026-08-01;785;10;7502;21.3;oui;savoir-faire;5;3;4;oui;oui;non;/savoir-faire/aftermovie-captation-evenementielle/;;;;;
ch;page;/realisation-video-geneve/;Réalisation vidéo sur Genève;2026-08-01;290;9;8568;45.0;oui;ville;3;2;;non;non;non;(bluevista.ch — chantier séparé);;;;;
fr;actualité;/actualites/video-immersive-360/;Vidéo immersive 360°;2024-01-21;268;9;3364;13.6;non;;;;;;;;/realisations/video-immersive-360/;;;;;
fr;page;/nos-competences/creation-immersive-realite-virtuelle/;Création immersive / Réalité virtuelle;2025-09-04;767;9;1795;51.6;oui;savoir-faire;3;4;3;oui;oui;non;/savoir-faire/creation-immersive-realite-virtuelle/;;;;;
fr;actualité;/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;Motion design 3D et mapping à Paris au Musée Rodin;2024-01-21;176;9;710;30.2;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
fr;réalisation;/nos-realisations/printemps-nouvelle-identite/;Printemps : Nouvelle identité;2024-01-21;168;9;179;13.0;non;;;;;;;;/realisations/printemps-nouvelle-identite-reportage-video-evenement/;;;;;
ch;page;/nos-competences/live-streaming-webtv/;Live streaming / WEBTV;2024-03-07;199;8;3066;21.7;oui;savoir-faire;5;3;1;oui;oui;non;/savoir-faire/live-streaming-webtv/;;;;;
fr;actualité;/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;Vidéo mapping Lyon – InterContinental Grand Hôtel Dieu;2024-01-21;230;8;619;25.7;non;;;;;;;;/realisations/tetro-grand-hotel-dieu-video-event/;;;;;
en;réalisation;/nos-realisations/radisson-360-vr/;Radisson 360 VR;2024-01-28;88;8;307;8.3;non;;;;;;;;/realisations/radisson-blu-video-360-vr/;;;;;
fr;actualité;/actualites/animation-3d-grande-arche-de-la-defense/;Animation 3D Technique explicative pour les travaux de rénovation de la Grande Arche de la Défense;2024-01-21;112;7;332;15.1;non;;;;;;;;/realisations/animation-3d-grande-arche-de-la-defense/;;;;;
fr;page;/realisation-film-sante/;Réalisation de film – Santé;2024-01-21;257;6;2941;14.5;non;;;;;;;;/;;;;;
fr;réalisation;/nos-realisations/amplitude-amplivision/;Amplitude – Amplivision;2024-01-21;114;6;650;13.0;non;;;;;;;;/realisations/amplitude-amplivision-video-studio/;;;;;
fr;actualité;/actualites/bluevista-video-showreel-2023/;Bluevista vidéo Showreel 2023;2024-04-10;222;5;2398;7.5;non;;;;;;;;/realisations/bluevista-showreel-video-2023/;;;;;
en;réalisation;/nos-realisations/hitachi-cs-net/;Hitachi – CS Net;2024-01-28;171;5;760;9.7;non;;;;;;;;/realisations/hitachi-cs-net-video-3d/;;;;;
ch;page;/agence/;L’agence;2024-02-01;332;4;3306;57.3;oui;agence;;;;non;non;non;/agence/;;;;;
fr;actualité;/actualites/carte-de-voeux-video/;Carte de voeux vidéo;2024-01-21;190;4;2220;34.6;non;;;;;;;;/realisations/veama-carte-de-voeux-2019/;;;;;
fr;page;/nos-competences/studio-fond-vert-compositing/;Studio fond vert / compositing;2024-02-08;182;4;799;24.6;oui;savoir-faire;2;3;3;oui;oui;non;/savoir-faire/studio-fond-vert-compositing/;;;;;
en;page;/3d-animation-studio-in-paris/;3D animation studio in Paris;2023-12-07;297;4;753;25.8;non;;;;;;;;/;;;;;
fr;réalisation;/nos-realisations/qwartz/;Qwartz;2024-01-21;116;4;220;15.8;non;;;;;;;;/realisations/qwartz-video-de-presentation-centre-commercial/;;;;;
fr;réalisation;/nos-realisations/tetro-grand-hotel-dieu/;TETRO – Grand Hotel Dieu;2024-01-21;262;4;219;14.1;non;;;;;;;;/realisations/tetro-grand-hotel-dieu-video-event/;;;;;
en;actualité;/actualites/gf-machining-solutions-virtual-showroom/;GF Machining Solutions Virtual Showroom;2024-01-08;270;4;69;9.4;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;page;/bluevista-agence-metaverse/;Metaverse;2026-08-10;750;3;4519;25.8;non;;;;;;;;/;;;;;
fr;page;/film-d-entreprise-paris-15-ans-d-experience/;Film d’entreprise Paris -15 ans d’expérience;2024-01-25;461;3;4175;28.5;non;;;;;;;;/;;;;;
fr;page;/video-promotionnelle/;Vidéo Promotionelle;2024-02-01;742;3;1585;11.8;non;;;;;;;;/;;;;;
en;réalisation;/nos-realisations/thx-medical-dosamat-digital-2-0/;THX Médical – Dosamat digital 2.0;2024-01-28;155;3;263;11.6;non;;;;;;;;/realisations/thx-medical-dosamat-digital-2-0-motion-design/;;;;;
fr;actualité;/actualites/50ans-de-lpa-une-histoire-lyonnaise/;50ans de LPA, une histoire Lyonnaise;2024-01-21;138;3;180;13.6;non;;;;;;;;/realisations/50ans-de-lpa-une-histoire-lyonnaise/;;;;;
ch;page;/nos-competences/video-corporate-film-dentreprise/;Vidéo corporate / film d’entreprise;2024-02-07;208;2;4875;35.2;oui;savoir-faire;3;3;1;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
fr;page;/nos-competences/video-aerienne-drone/;Vidéo aérienne / drone;2024-01-29;359;2;2798;42.8;oui;savoir-faire;5;4;3;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
fr;page;/realisation-video-geneve/;Réalisation vidéo sur Genève;2026-08-10;296;2;2301;29.1;oui;ville;3;2;;non;non;non;(bluevista.ch — chantier séparé);;;;;
fr;réalisation;/nos-realisations/hitachi-cs-net/;Hitachi – CS Net;2024-01-21;180;2;1005;9.5;non;;;;;;;;/realisations/hitachi-cs-net-video-3d/;;;;;
fr;actualité;/actualites/koesio-carte-de-voeux-2023/;Koesio – Carte de voeux 2023;2024-01-21;372;2;711;40.8;non;;;;;;;;/realisations/koesio-carte-de-v-ux-video-2023/;;;;;
en;réalisation;/nos-realisations/amplitude-amplivision/;Amplitude – Amplivision;2024-01-28;98;2;556;6.3;non;;;;;;;;/realisations/amplitude-amplivision-video-studio/;;;;;
fr;actualité;/actualites/guitare-en-scene-2023/;Guitare en Scène 2023;2024-01-21;340;2;537;12.7;non;;;;;;;;/realisations/guitare-en-scene-edition-2023-video-evenement/;;;;;
fr;réalisation;/nos-realisations/bluevista-showreel-2025/;bluevista | Showreel 2025;2025-04-04;104;2;478;5.1;oui;réalisation;;;oui;non;non;oui;/realisations/bluevista-showreel-2025/;;;;;
fr;actualité;/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/;Réalisation immersion 360 degrés dameuse Pisten Bully;2024-01-21;157;2;309;13.7;non;;;;;;;;/realisations/pisten-bully-dameuse-video-360-vr/;;;;;
fr;actualité;/actualites/bluevista-le-motion-design/;bluevista – Le motion design, c’est quoi ?;2024-03-04;254;2;280;26.7;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
fr;actualité;/actualites/projet-de-realisation-video-360/;Projet de réalisation vidéo 360;2024-01-21;180;2;235;18.0;non;;;;;;;;/realisations/projet-de-realisation-video-360/;;;;;
ch;page;/mentions-legales/;Mentions légales;2024-01-27;785;2;214;5.9;non;;;;;;;;/mentions-legales/;;;;;
fr;actualité;/actualites/barpi-prevention-accidents/;BARPI : Prévention d’accidents industriels;2024-01-22;398;2;189;11.2;non;;;;;;;;/realisations/barpi-prevention-accidents/;;;;;
en;page;/our-skills/immersive-creation-virtual-reality/;Immersive creation / Virtual reality;2025-09-04;705;2;185;15.3;non;;;;;;;;/;;;;;
fr;actualité;/actualites/showroom-virtuel-gf-machining-solutions/;Showroom Virtuel GF Machining Solutions;2024-01-21;287;2;165;33.1;non;;;;;;;;/realisations/ensto-showroom-virtuel/;;;;;
fr;réalisation;/nos-realisations/radisson-360-vr/;Radisson 360 VR;2024-01-21;87;2;159;13.9;non;;;;;;;;/realisations/radisson-blu-video-360-vr/;;;;;
fr;réalisation;/nos-realisations/artcurial-mapping/;Artcurial : Mapping;2024-01-21;111;2;126;47.2;non;;;;;;;;/realisations/artcurial-video-mapping/;;;;;
en;réalisation;/nos-realisations/pisten-bully-360-vr-snowcat/;Pisten Bully – 360 VR snowcat;2024-01-28;103;2;119;9.2;non;;;;;;;;/realisations/pisten-bully-dameuse-video-360-vr/;;;;;
ch;page;/nos-realisations/;Nos réalisations;2024-02-01;344;2;108;8.5;non;;;;;;;;/realisations/;;;;;
en;actualité;/actualites/360-immersive-video/;360° immersive video;2023-12-07;270;2;72;28.7;non;;;;;;;;/realisations/video-immersive-360/;;;;;
ch;page;/bluevista-agence-metaverse/;Metaverse;2025-04-09;394;2;68;15.3;non;;;;;;;;/;;;;;
en;réalisation;/nos-realisations/opiiec/;OPIIEC;2024-01-28;107;2;45;7.6;non;;;;;;;;/realisations/opiiec-motio-design-site-internet/;;;;;
ch;page;/nos-competences/studio-fond-vert-compositing/;Studio fond vert / compositing;2024-02-08;206;2;39;7.7;oui;savoir-faire;2;3;3;oui;oui;non;/savoir-faire/studio-fond-vert-compositing/;;;;;
en;réalisation;/nos-realisations/santos-i-grind-coffee-grinder-reveal/;SANTOS – I-GRIND Coffee Grinder – Reveal;2024-02-28;67;2;36;22.4;oui;réalisation;;;oui;non;non;oui;/realisations/santos-i-grind-coffee-grinder-reveal/;;;;;
fr;réalisation;/nos-realisations/irisolaris-aftermovie-irisdays-2024/;IRISOLARIS – Aftermovie – IrisDays 2024;2025-01-22;76;2;13;4.1;oui;réalisation;;;oui;non;non;oui;/realisations/irisolaris-aftermovie-irisdays-2024/;;;;;
fr;réalisation;/nos-realisations/koesio-convention-2024/;KOESIO – Convention 2024;2025-02-05;81;2;11;4.8;oui;réalisation;;;oui;non;non;oui;/realisations/koesio-convention-2024/;;;;;
fr;page;/nos-competences/video-corporate-film-dentreprise/;Vidéo corporate / film d’entreprise;2026-08-01;193;1;5846;52.5;oui;savoir-faire;3;3;1;oui;oui;non;(bluevista.ch — chantier séparé);;;;;
en;actualité;/actualites/barpi-industrial-accident-prevention/;BARPI: Industrial accident prevention;2024-01-22;365;1;4206;6.7;non;;;;;;;;/realisations/barpi-prevention-accidents/;;;;;
en;page;/video-production-in-geneva/;Video production in Geneva;2024-01-21;267;1;3263;24.9;non;;;;;;;;/;;;;;
fr;page;/realisation-film-lancement-produit/;Réalisation de film – Lancement Produit;2024-01-21;223;1;2050;24.6;non;;;;;;;;/;;;;;
