plateforme;identifiant;url_actuelle;titre_vimeo;duree;etat;deja_dans_sanity;nb_usages;ou_elle_est_utilisee;URL_LIVID;fait
vimeo;273315880;https://vimeo.com/273315880;ABB - AF Contactor;2:24;public;oui;1;fr:/realisations/abb-af-contactor-film-produit/;;
vimeo;213434478;https://vimeo.com/213434478;ALOREM;1:08;public;oui;1;fr:/realisations/alorem-video-produit/;;
vimeo;126715305;https://vimeo.com/126715305;American vintage concept store;5:21;public;oui;1;fr:/realisations/video-magasin-american-vintage/;;
vimeo;126845287;https://vimeo.com/126845287;Amplitude - Amplivision;1:57;public;oui;1;fr:/realisations/amplitude-amplivision-video-studio/;;
vimeo;899750242;https://vimeo.com/899750242;AMPLITUDE - Voeux2024;2:10;public;oui;1;fr:/realisations/amplitude-carte-de-v-ux-video-2024/;;
vimeo;273313965;https://vimeo.com/273313965;AMPLITUDE - Voeux 2018 version FR Corpo;2:08;public;oui;1;fr:/realisations/amplitude-carte-de-voeux-video-2018/;;
vimeo;851613960;https://vimeo.com/851613960;AMPLITUDE - Voeux 2023 - FR;1:37;public;oui;1;fr:/realisations/amplitude-v-ux-2023/;;
vimeo;780309433;https://vimeo.com/780309433;;;privée ou supprimée;oui;1;fr:/realisations/aravi-saison-2022/;;
vimeo;1049306337;https://vimeo.com/1049306337;ARAVI - LEMANS - J2;2:32;public;oui;1;fr:/realisations/aravi-saison-2024-reportages-video/;;
vimeo;273316372;https://vimeo.com/273316372;ARaymond - shARe;1:45;public;oui;1;fr:/realisations/araymond-share-motion-design-site-internet/;;
vimeo;276227175;https://vimeo.com/276227175;Assisqual;2:17;public;oui;1;fr:/realisations/assisqual-motion-design/;;
vimeo;276254832;https://vimeo.com/276254832;Nikon - Fabrication d'un verre optique VR;3:33;public;oui;1;fr:/realisations/bbgr-video-360-usine/;;
vimeo;1069159543;https://vimeo.com/1069159543;HUILES BERLIET - FOOH -  LYON;0:56;public;oui;1;fr:/realisations/huiles-berliet-fooh-lyon/;;
vimeo;526878416;https://vimeo.com/526878416;Neurones IT - Voeux;0:50;public;oui;1;fr:/realisations/neurones-it-video-3d-voeux-2021/;;
youtube;oy6ePGXkp0g;https://youtu.be/oy6ePGXkp0g;;;youtube;oui;1;fr:/realisations/bluevista-showreel-2022/;;
vimeo;938167214;https://vimeo.com/938167214;bluevista | Showreel 2024;2:45;public;oui;1;fr:/realisations/bluevista-showreel-2024/;;
vimeo;1072209644;https://vimeo.com/1072209644;Bluevista - Showreel 2025;1:47;public;oui;1;fr:/realisations/bluevista-showreel-2025/;;
vimeo;328647494;https://vimeo.com/328647494;bluevista | Showreel 2019;1:27;public;oui;1;fr:/realisations/bluevista-video-showreel-2019/;;
vimeo;139911078;https://vimeo.com/139911078;;;public;oui;1;fr:/realisations/cera-agence-innovation-motion-design/;;
vimeo;247780815;https://vimeo.com/247780815;CERA.fr;1:50;public;oui;1;fr:/realisations/site-internet-cera-motion-design/;;
vimeo;126715309;https://vimeo.com/126715309;Film explicatif 3D / compositing - CLEDA;4:47;public;oui;1;fr:/realisations/time-lapse-la-cleda/;;
vimeo;213820410;https://vimeo.com/213820410;CPRO #PasBesoinDEnRajouter;1:08;public;oui;1;fr:/realisations/c-pro-pas-besoin-d-en-rajouter-video-publicitaire/;;
vimeo;101279524;https://vimeo.com/101279524;DEKO;2:18;public;oui;1;fr:/realisations/deko-film-de-presentation/;;
vimeo;747563716;https://vimeo.com/747563716;DROMIS - EQUANS & INEO;4:14;public;oui;1;fr:/realisations/dromis-equans-ineo-reportage-video/;;
vimeo;878699691;https://vimeo.com/878699691;E-XPERT Solutions - Aftermovie ECD 2022;4:05;public;oui;1;fr:/realisations/e-xpert-solutions-aftermovie-ecd-2022/;;
vimeo;878699220;https://vimeo.com/878699220;E-XPERT SOLUTIONS - Aftermovie EDC 2023;4:55;public;oui;1;fr:/realisations/e-xpert-solutions-aftermovie-ecd-2023/;;
vimeo;742653329;https://vimeo.com/742653329;E-XPERT Solutions | AtDefense;1:57;public;oui;1;fr:/realisations/e-xpert-solutions-atdefense-video-pub-fiction-humour/;;
