ancienne_url;titre_actuel;clics_12m;impressions_12m;action;cible
/actualites/stann/;STANN.;0;7563;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/video-immersive-360/;Vidéo immersive 360°;9;3145;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/bluevista-video-showreel-2023/;Bluevista vidéo Showreel 2023;5;2392;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/carte-de-voeux-video/;Carte de voeux vidéo;4;2339;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/aravi-saison-2022-2023/;ARAVI - Saison 2022/2023;0;856;FUSIONNER — doublon;/nos-realisations/aravi-saison-2022-2023/
/actualites/koesio-carte-de-voeux-2023/;Koesio - Carte de voeux 2023;2;762;FUSIONNER — doublon;/nos-realisations/koesio-voeux-2024/
/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;Motion design 3D et mapping à Paris au Musée Rodin;9;705;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;Vidéo mapping Lyon - InterContinental Grand Hôtel Dieu;8;617;FUSIONNER — doublon;/nos-realisations/tetro-grand-hotel-dieu/
/actualites/guitare-en-scene-2023/;Guitare en Scène 2023;2;542;FUSIONNER — doublon;/nos-realisations/guitare-en-scene-edition-2023/
/actualites/animation-3d-grande-arche-de-la-defense/;Animation 3D Grande Arche de la Défense;7;332;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/;Réalisation immersion 360 degrés dameuse Pisten Bully;2;308;FUSIONNER — doublon;/nos-realisations/pisten-bully-dameuse-360-vr/
/actualites/animation-3d-produit-hitachi-csnet-manager/;Animation 3D produit HITACHI CSNet manager;1;305;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/mase-4-motions/;MASE Rhône Alpes : Motions;1;302;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/bluevista-le-motion-design/;bluevista - Le motion design, c'est quoi ?;2;277;GARDER — vrai article;
/actualites/mapping-printemps-lyon/;Mapping Printemps Lyon : Changement de marque;1;274;FUSIONNER — doublon;/nos-realisations/printemps-mapping/
/actualites/projet-de-realisation-video-360/;Vidéo 360 drone;2;255;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/sport-boules-16eme-trophee-emile-terrier/;Sport Boules : 16ème Trophée Émile Terrier;0;225;MIGRER — projet déguisé;/nos-realisations/<slug>/
/actualites/show-reel-motion-design/;Show reel Motion Design;0;214;MIGRER — projet déguisé;/nos-realisations/<slug>/
