page;clics;impressions;ctr;position
"https://www.bluevista.ch/studio-danimation-3d-a-geneve/";153;5423;2.82;15.7
"https://www.bluevista.ch/";152;40550;0.37;26.6
"https://www.bluevista.ch/nos-competences/video-mapping/";32;869;3.68;12.3
"https://www.bluevista.ch/nos-competences/motion-design/";29;3837;0.76;17.1
"https://www.bluevista.ch/nos-competences/animation-3d/";28;1244;2.25;28.3
"http://www.bluevista.ch/";23;1268;1.81;10.8
"https://www.bluevista.ch/nos-competences/video-aerienne-drone/";12;1285;0.93;16.3
"https://www.bluevista.ch/realisation-video-geneve/";9;8568;0.11;45.0
"https://www.bluevista.ch/nos-competences/live-streaming-webtv/";8;3066;0.26;21.7
"https://www.bluevista.ch/agence/";4;3306;0.12;57.3
"https://www.bluevista.ch/bluevista-agence-metaverse/";2;68;2.94;15.3
"https://www.bluevista.ch/mentions-legales/";2;214;0.93;5.9
"https://www.bluevista.ch/nos-competences/studio-fond-vert-compositing/";2;39;5.13;7.7
"https://www.bluevista.ch/nos-competences/video-corporate-film-dentreprise/";2;4875;0.04;35.2
"https://www.bluevista.ch/nos-realisations/";2;108;1.85;8.5
"https://www.bluevista.ch/actualites/";1;1055;0.09;49.2
"https://www.bluevista.ch/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/";1;1;100.00;4.0
"https://www.bluevista.ch/contact-devis/";1;198;0.51;11.5
"https://www.bluevista.ch/nos-competences/";1;287;0.35;29.2
"https://www.bluevista.ch/nos-competences/aftermovie-captation-evenementielle/";1;1961;0.05;43.7
"https://www.bluevista.ch/nos-competences/creation-immersive-realite-virtuelle/";1;69;1.45;64.8
"https://www.bluevista.ch/actualites/author/guillaume/page/3/";0;4;0.00;15.0
"https://www.bluevista.ch/actualites/category/animation_3d-ch/";0;8;0.00;10.6
"https://www.bluevista.ch/actualites/category/reportage-ch/";0;10;0.00;8.5
"https://www.bluevista.ch/actualites/category/tournage-studio-ch/";0;8;0.00;20.6
"https://www.bluevista.ch/actualites/category/videomapping-ch/";0;6;0.00;6.3
"https://www.bluevista.ch/actualites/clip-corporate-bos-equipement/";0;1;0.00;1.0
"https://www.bluevista.ch/actualites/tag/creation-ch/";0;25;0.00;7.8
"https://www.bluevista.ch/actualites/tag/services-ch/";0;1;0.00;8.0
"https://www.bluevista.ch/actualites/tag/site-ch/";0;2;0.00;6.5
"https://www.bluevista.ch/actualites/tag/technique-ch/";0;2;0.00;8.5
"https://www.bluevista.ch/nos-realisations/abb-snk-3d-marine/";0;1;0.00;6.0
"https://www.bluevista.ch/nos-realisations/cpro-film-corpo/";0;3;0.00;10.0
"https://www.bluevista.ch/nos-realisations/e-xpert-solutions-aftermovie-ecd-2023/";0;1;0.00;10.0
"https://www.bluevista.ch/nos-realisations/elistair-orion/";0;6;0.00;9.2
"https://www.bluevista.ch/nos-realisations/wall-mapping-les-mesaventures-de-toky/";0;3;0.00;12.0
"https://www.bluevista.ch/video-publicitaire/";0;1;0.00;1.0
