country;clics;impressions;ctr;position
"che";281;52960;0.53;26.0
"fra";158;7155;2.21;15.9
"bel";2;102;1.96;16.0
"bgd";2;12;16.67;50.3
"deu";2;318;0.63;21.1
"dza";2;38;5.26;11.9
"hkg";2;16;12.50;22.4
"arg";1;15;6.67;24.6
"ben";1;2;50.00;5.0
"can";1;136;0.74;20.5
"esp";1;119;0.84;19.8
"gbr";1;236;0.42;20.8
"idn";1;22;4.55;31.0
"ita";1;101;0.99;13.0
"mdg";1;8;12.50;22.4
"nga";1;2;50.00;70.0
"prt";1;35;2.86;19.0
"tun";1;17;5.88;8.1
"usa";1;2140;0.05;20.5
"alb";0;5;0.00;21.6
"and";0;6;0.00;17.0
"are";0;7;0.00;17.4
"aus";0;69;0.00;22.4
"aut";0;20;0.00;14.6
"aze";0;2;0.00;8.0
"bfa";0;1;0.00;10.0
"bgr";0;8;0.00;16.3
"bhr";0;2;0.00;7.0
"bhs";0;1;0.00;40.0
"blz";0;1;0.00;2.0
"bol";0;4;0.00;39.5
"bra";0;79;0.00;27.3
"chl";0;16;0.00;16.3
"chn";0;5;0.00;8.2
"civ";0;8;0.00;6.3
"cmr";0;5;0.00;6.6
"cod";0;6;0.00;5.7
"col";0;11;0.00;30.7
"cri";0;2;0.00;7.5
"cze";0;27;0.00;13.2
"dnk";0;12;0.00;15.0
"dom";0;5;0.00;42.2
"ecu";0;6;0.00;16.3
"egy";0;7;0.00;36.0
"esh";0;1;0.00;1.0
"est";0;20;0.00;14.6
"eth";0;1;0.00;30.0
"gab";0;7;0.00;1.6
"gha";0;1;0.00;21.0
"gin";0;2;0.00;3.5
"glp";0;87;0.00;24.6
"grc";0;22;0.00;13.0
"gtm";0;4;0.00;33.5
"hnd";0;1;0.00;9.0
"hrv";0;2;0.00;3.5
"hti";0;1;0.00;7.0
"hun";0;72;0.00;16.5
"ind";0;56;0.00;25.0
"irl";0;15;0.00;23.1
"irn";0;39;0.00;12.4
"irq";0;2;0.00;39.5
"isl";0;1;0.00;1.0
"isr";0;3;0.00;7.7
"jor";0;3;0.00;42.7
"jpn";0;99;0.00;13.5
"ken";0;2;0.00;52.0
"khm";0;1;0.00;5.0
"kor";0;15;0.00;22.4
"kwt";0;1;0.00;3.0
"lao";0;2;0.00;5.5
"lby";0;1;0.00;7.0
"lie";0;1;0.00;50.0
"ltu";0;10;0.00;21.5
"lux";0;5;0.00;12.8
"lva";0;2;0.00;14.0
"mar";0;34;0.00;19.8
"mco";0;2;0.00;7.5
"mex";0;19;0.00;17.3
"mkd";0;2;0.00;6.0
"mli";0;2;0.00;4.5
"mlt";0;3;0.00;7.0
"mmr";0;2;0.00;18.0
"mrt";0;2;0.00;8.5
"mtq";0;3;0.00;7.0
"mus";0;4;0.00;5.3
"mys";0;4;0.00;22.5
"ner";0;2;0.00;7.0
"nld";0;104;0.00;18.9
"nor";0;26;0.00;15.7
"nzl";0;47;0.00;19.3
"omn";0;2;0.00;19.5
"pak";0;4;0.00;31.0
"pan";0;1;0.00;12.0
"per";0;9;0.00;29.6
"phl";0;25;0.00;36.6
"pol";0;23;0.00;12.0
"pry";0;2;0.00;14.5
"pse";0;1;0.00;34.0
"qat";0;1;0.00;63.0
"reu";0;10;0.00;8.2
"rou";0;102;0.00;16.6
"rus";0;43;0.00;26.3
"rwa";0;1;0.00;10.0
"sau";0;3;0.00;11.3
"sen";0;4;0.00;3.8
"sgp";0;29;0.00;17.9
"slv";0;1;0.00;10.0
"srb";0;4;0.00;7.0
"svk";0;6;0.00;19.0
"swe";0;21;0.00;11.0
"syc";0;1;0.00;1.0
"tgo";0;1;0.00;5.0
"tha";0;26;0.00;19.3
"tur";0;19;0.00;11.8
"twn";0;10;0.00;13.2
"tza";0;1;0.00;9.0
"ukr";0;7;0.00;14.1
"ury";0;1;0.00;69.0
"uzb";0;1;0.00;1.0
"ven";0;4;0.00;28.3
"vnm";0;32;0.00;25.8
"xkk";0;3;0.00;8.0
"zaf";0;3;0.00;13.0
"zwe";0;2;0.00;8.5
"zzz";0;1;0.00;17.0
