query;clics;impressions;ctr;position
"bluevista";39;194;20.10;4.5
"studio d'animation suisse";16;200;8.00;7.0
"bluevista production";5;33;15.15;15.1
"blue vista";4;34;11.76;13.3
"studio animation suisse";4;173;2.31;8.4
"motion design geneve";2;243;0.82;19.3
"motion design genève";2;159;1.26;16.1
"studio 3d animation";2;19;10.53;30.8
"webtv streaming";2;114;1.75;4.2
"3d animation agentur";1;4;25.00;45.8
"agence de production audiovisuelle";1;197;0.51;29.3
"agence de production genève";1;382;0.26;22.3
"agence video";1;139;0.72;10.6
"agence vidéo suisse romande";1;312;0.32;5.2
"bluvista";1;14;7.14;25.1
"boite de production audiovisuel";1;2;50.00;11.0
"film animation studio";1;1;100.00;11.0
"motion designer";1;35;2.86;19.3
"studio animation 3d";1;38;2.63;35.7
"studio d'animation 3d";1;7;14.29;4.4
"studio film animation";1;9;11.11;9.0
"videaste geneve";1;282;0.35;16.0
"video drone";1;1;100.00;3.0
"video mapping";1;66;1.52;7.0
"video mapping geneve";1;63;1.59;18.4
"3 d studio";0;2;0.00;8.0
"3d agentur";0;3;0.00;84.7
"3d animasjon studio";0;1;0.00;82.0
"3d animation";0;1;0.00;11.0
"3d animation film";0;1;0.00;38.0
"3d animation firma";0;1;0.00;20.0
"3d animation schweiz";0;108;0.00;48.7
"3d animation services";0;1;0.00;78.0
"3d animation studio";0;68;0.00;17.5
"3d animation studios";0;2;0.00;56.0
"3d animation studios in switzerland";0;2;0.00;21.5
"3d animations";0;2;0.00;8.0
"3d geneve";0;12;0.00;9.2
"3d machine animation agency";0;2;0.00;49.5
"3d machine animation studio";0;6;0.00;8.5
"3d studio";0;20;0.00;6.8
"3d studios";0;1;0.00;5.0
"abbox";0;1;0.00;11.0
"aftermovie définition";0;7;0.00;8.7
"aftermovie evenement";0;1;0.00;4.0
"agence 3d";0;133;0.00;12.1
"agence animation 3d";0;5;0.00;33.4
"agence animation video";0;1;0.00;1.0
"agence audiovisuel";0;376;0.00;23.9
"agence audiovisuelle";0;188;0.00;47.7
"agence audiovisuelle genève";0;103;0.00;9.8
"agence audiovisuelle lausanne";0;40;0.00;66.0
"agence audiovisuelle lyon";0;1;0.00;35.0
"agence audiovisuelle suisse";0;409;0.00;21.3
"agence audiovisuelle événementielle";0;149;0.00;29.4
"agence communication audiovisuelle";0;33;0.00;11.6
"agence communication entreprise genève";0;1;0.00;65.0
"agence communication suisse romande";0;3;0.00;48.0
"agence communication video";0;112;0.00;10.6
"agence communication vidéo";0;1;0.00;56.0
"agence communication vidéo genève";0;44;0.00;25.5
"agence creation video";0;1;0.00;100.0
"agence création de contenu genève";0;12;0.00;58.7
"agence création vidéo";0;578;0.00;8.1
"agence d audiovisuel";0;166;0.00;9.3
"agence d'animation 3d";0;1;0.00;3.0
"agence d'audiovisuel";0;407;0.00;15.2
"agence de communication audiovisuelle";0;49;0.00;11.2
"agence de communication en suisse";0;5;0.00;60.0
"agence de communication suisse";0;2;0.00;57.0
"agence de communication suisse romande";0;103;0.00;76.4
"agence de communication video";0;1;0.00;2.0
"agence de communication vidéo";0;134;0.00;9.2
"agence de création audiovisuelle";0;2;0.00;40.0
"agence de création vidéo";0;268;0.00;6.9
"agence de diffusion en direct";0;2;0.00;88.0
"agence de marketing geneve";0;2;0.00;35.5
"agence de modélisation 3d";0;1;0.00;58.0
"agence de montage video";0;154;0.00;49.5
"agence de montage vidéo";0;133;0.00;8.8
"agence de motion design";0;513;0.00;9.6
"agence de motion graphics";0;57;0.00;7.2
"agence de prod";0;2;0.00;18.5
"agence de prod genève";0;117;0.00;8.8
"agence de production";0;16;0.00;48.9
"agence de production audiovisuelle geneve";0;4;0.00;21.8
"agence de production créative suisse";0;8;0.00;26.6
"agence de production film";0;15;0.00;31.1
"agence de production publicitaire";0;3;0.00;44.3
"agence de production suisse";0;221;0.00;37.2
"agence de production video";0;105;0.00;10.2
"agence de production vidéo";0;606;0.00;22.2
"agence de production vidéo genève";0;462;0.00;14.8
