page;clics;impressions;ctr;position
"https://en.bluevistaprod.com/";137;6846;2.00;7.8
"https://en.bluevistaprod.com/our-skills/live-streaming-webtv/";26;970;2.68;11.0
"https://en.bluevistaprod.com/nos-realisations/radisson-360-vr/";8;307;2.61;8.3
"https://en.bluevistaprod.com/nos-realisations/hitachi-cs-net/";5;760;0.66;9.7
"https://en.bluevistaprod.com/3d-animation-studio-in-paris/";4;753;0.53;25.8
"https://en.bluevistaprod.com/actualites/gf-machining-solutions-virtual-showroom/";4;69;5.80;9.4
"https://en.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/";3;263;1.14;11.6
"https://en.bluevistaprod.com/actualites/360-immersive-video/";2;72;2.78;28.7
"https://en.bluevistaprod.com/nos-realisations/amplitude-amplivision/";2;556;0.36;6.3
"https://en.bluevistaprod.com/nos-realisations/opiiec/";2;45;4.44;7.6
"https://en.bluevistaprod.com/nos-realisations/pisten-bully-360-vr-snowcat/";2;119;1.68;9.2
"https://en.bluevistaprod.com/nos-realisations/santos-i-grind-coffee-grinder-reveal/";2;36;5.56;22.4
"https://en.bluevistaprod.com/our-skills/immersive-creation-virtual-reality/";2;185;1.08;15.3
"https://en.bluevistaprod.com/actualites/barpi-industrial-accident-prevention/";1;4206;0.02;6.7
"https://en.bluevistaprod.com/actualites/getlive-tv-3-0-wbe-tv-according-to-bluevista/";1;45;2.22;6.7
"https://en.bluevistaprod.com/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/";1;128;0.78;9.5
"https://en.bluevistaprod.com/actualites/the-bluevista-metaverse-the-blueverse/";1;104;0.96;6.8
"https://en.bluevistaprod.com/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/";1;23;4.35;7.0
"https://en.bluevistaprod.com/advertising-video/";1;160;0.63;9.7
"https://en.bluevistaprod.com/contact-quotation/";1;85;1.18;7.4
"https://en.bluevistaprod.com/corporate-film-in-lyon/";1;226;0.44;29.2
"https://en.bluevistaprod.com/geneva-event-video-production/";1;250;0.40;35.3
"https://en.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/";1;51;1.96;9.9
"https://en.bluevistaprod.com/nos-realisations/engie-home-services-migo-thermostat-video/";1;109;0.92;13.5
"https://en.bluevistaprod.com/nos-realisations/riso-comcolor/";1;9;11.11;16.4
"https://en.bluevistaprod.com/our-skills/3d-animation/";1;112;0.89;14.7
"https://en.bluevistaprod.com/our-skills/aftermovie-event-capture/";1;150;0.67;28.9
"https://en.bluevistaprod.com/the-agency/";1;377;0.27;6.4
"https://en.bluevistaprod.com/video-production-in-geneva/";1;3263;0.03;24.9
"https://en.bluevistaprod.com/3d-animation-studio-in-lyon/";0;93;0.00;9.2
"https://en.bluevistaprod.com/actualites/360-degree-immersion-realization-pisten-bully-snow-groomer/";0;51;0.00;21.5
"https://en.bluevistaprod.com/actualites/360-video-production-project/";0;15;0.00;14.5
"https://en.bluevistaprod.com/actualites/3d-animation-hitachi-csnet-manager-product/";0;5;0.00;8.0
"https://en.bluevistaprod.com/actualites/3d-motion-design-and-mapping-in-paris-at-the-rodin-museum/";0;44;0.00;19.6
"https://en.bluevistaprod.com/actualites/50-years-of-lpa-a-lyonnaise-story/";0;19;0.00;6.5
"https://en.bluevistaprod.com/actualites/aravi-season-2022-2023/";0;25;0.00;6.6
"https://en.bluevistaprod.com/actualites/artcurial-mapping-20-years/";0;12;0.00;21.7
"https://en.bluevistaprod.com/actualites/bluevista-creative-unicorn-team/";0;3;0.00;3.0
"https://en.bluevistaprod.com/actualites/bluevista-creative-video-a-real-team-1-flexibility-video/";0;5;0.00;13.0
"https://en.bluevistaprod.com/actualites/bluevista-creative-video-a-real-team-2-diversity/";0;13;0.00;2.9
"https://en.bluevistaprod.com/actualites/bluevista-creative-video-a-real-team-3-productivity/";0;42;0.00;10.1
