country;clics;impressions;ctr;position
"fra";44;1760;2.50;10.1
"deu";37;2859;1.29;5.9
"che";13;1430;0.91;30.9
"usa";13;4974;0.26;18.4
"esp";12;189;6.35;7.4
"bra";9;385;2.34;6.9
"ind";9;2632;0.34;7.2
"gbr";8;806;0.99;24.4
"can";5;289;1.73;13.3
"ita";5;244;2.05;10.5
"nld";5;185;2.70;11.2
"rou";5;111;4.50;6.9
"chn";4;69;5.80;7.0
"aus";3;188;1.60;19.9
"idn";3;184;1.63;8.9
"aut";2;146;1.37;5.2
"bgd";2;108;1.85;9.6
"jpn";2;252;0.79;7.0
"kor";2;704;0.28;5.8
"pak";2;178;1.12;6.9
"phl";2;145;1.38;10.4
"sau";2;131;1.53;14.5
"tur";2;123;1.63;9.3
"alb";1;14;7.14;4.4
"are";1;124;0.81;19.3
"bhr";1;8;12.50;14.9
"chl";1;21;4.76;7.9
"civ";1;1;100.00;1.0
"egy";1;58;1.72;8.8
"hkg";1;245;0.41;9.7
"hrv";1;35;2.86;6.1
"hun";1;35;2.86;6.8
"isr";1;35;2.86;8.8
"khm";1;13;7.69;10.5
"mdg";1;9;11.11;4.4
"mex";1;106;0.94;8.7
"mkd";1;15;6.67;5.1
"mus";1;10;10.00;6.8
"mys";1;129;0.78;6.8
"per";1;34;2.94;12.2
"srb";1;57;1.75;8.2
"syc";1;4;25.00;6.8
"twn";1;147;0.68;7.3
"vnm";1;130;0.77;11.3
"zaf";1;80;1.25;10.2
"afg";0;5;0.00;6.8
"ago";0;9;0.00;12.3
"aia";0;1;0.00;4.0
"ala";0;1;0.00;6.0
"and";0;2;0.00;2.5
"arg";0;36;0.00;12.1
"arm";0;4;0.00;4.8
"aze";0;8;0.00;5.8
"bel";0;67;0.00;12.8
"ben";0;3;0.00;2.3
"bes";0;1;0.00;12.0
"bfa";0;1;0.00;12.0
"bgr";0;38;0.00;6.1
"bhs";0;1;0.00;5.0
"bih";0;44;0.00;7.5
"blr";0;9;0.00;9.4
"blz";0;3;0.00;12.7
"bol";0;7;0.00;9.4
"brn";0;5;0.00;4.0
"btn";0;2;0.00;6.0
"bwa";0;1;0.00;10.0
"cmr";0;4;0.00;13.8
"cod";0;2;0.00;6.0
"col";0;37;0.00;9.2
"com";0;11;0.00;1.8
"cpv";0;1;0.00;8.0
"cri";0;12;0.00;8.1
"cub";0;3;0.00;4.0
"cuw";0;2;0.00;8.0
"cyp";0;16;0.00;6.9
"cze";0;39;0.00;4.8
"dnk";0;37;0.00;17.7
"dom";0;8;0.00;6.6
"dza";0;25;0.00;15.0
"ecu";0;13;0.00;11.5
"esh";0;1;0.00;5.0
"est";0;20;0.00;7.0
"eth";0;7;0.00;7.1
"fin";0;111;0.00;7.1
"geo";0;25;0.00;6.4
"gha";0;5;0.00;5.4
"gib";0;1;0.00;8.0
"glp";0;1;0.00;4.0
"grc";0;30;0.00;7.8
"grd";0;4;0.00;7.8
"gtm";0;3;0.00;7.0
"irl";0;32;0.00;11.3
"irn";0;85;0.00;6.4
"irq";0;16;0.00;13.6
"isl";0;5;0.00;6.8
"jam";0;5;0.00;11.0
"jey";0;1;0.00;12.0
"jor";0;9;0.00;14.0
"kaz";0;5;0.00;17.8
"ken";0;18;0.00;10.4
"kgz";0;6;0.00;7.0
"kwt";0;16;0.00;7.7
"lao";0;1;0.00;61.0
"lbn";0;7;0.00;5.9
"lby";0;3;0.00;42.3
"lka";0;47;0.00;6.8
"ltu";0;10;0.00;9.7
"lux";0;10;0.00;14.1
"lva";0;2;0.00;4.5
"mac";0;5;0.00;6.0
"maf";0;2;0.00;5.5
"mar";0;66;0.00;8.3
"mco";0;5;0.00;6.4
"mda";0;9;0.00;6.9
"mdv";0;10;0.00;5.3
"mlt";0;5;0.00;6.8
"mmr";0;6;0.00;5.8
"mne";0;2;0.00;6.5
"mng";0;6;0.00;9.8
"moz";0;20;0.00;8.2
"mrt";0;1;0.00;7.0
"mtq";0;1;0.00;10.0
"mwi";0;1;0.00;7.0
"myt";0;1;0.00;6.0
"ner";0;1;0.00;8.0
"nga";0;30;0.00;12.2
"nic";0;1;0.00;37.0
"nor";0;30;0.00;11.0
"npl";0;32;0.00;8.7
"nzl";0;40;0.00;16.4
"omn";0;9;0.00;17.2
"pan";0;1;0.00;87.0
"png";0;4;0.00;6.0
"pol";0;132;0.00;8.2
"pri";0;7;0.00;7.9
"prt";0;59;0.00;8.7
"pry";0;16;0.00;9.3
"pse";0;1;0.00;8.0
"qat";0;16;0.00;6.8
"reu";0;2;0.00;7.5
"rus";0;74;0.00;13.1
"rwa";0;1;0.00;7.0
"sen";0;5;0.00;9.8
"sgp";0;123;0.00;15.3
"som";0;2;0.00;8.0
"ssd";0;1;0.00;8.0
"svk";0;19;0.00;6.5
"svn";0;15;0.00;7.5
"swe";0;56;0.00;11.3
"swz";0;1;0.00;8.0
"syr";0;3;0.00;8.0
"tgo";0;1;0.00;3.0
"tha";0;57;0.00;8.1
"tkm";0;1;0.00;5.0
"tto";0;4;0.00;10.0
"tun";0;13;0.00;12.2
"tza";0;5;0.00;5.0
"uga";0;8;0.00;6.4
"ukr";0;28;0.00;11.3
"ury";0;10;0.00;7.9
"uzb";0;7;0.00;4.7
"ven";0;8;0.00;9.9
"vir";0;1;0.00;2.0
"vut";0;1;0.00;6.0
"xkk";0;2;0.00;5.0
"zmb";0;1;0.00;4.0
"zwe";0;3;0.00;3.7
"zzz";0;2;0.00;36.0
