page;query;clics;impressions;ctr;position
"https://www.bluevistaprod.com/";"bluevista";266;809;32.88;2.4
"https://www.bluevistaprod.com/";"bluevista production";117;334;35.03;1.7
"https://www.bluevistaprod.com/";"blue vista";77;327;23.55;3.7
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"webtv streaming";34;1946;1.75;6.5
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio animation lyon";20;798;2.51;10.5
"https://www.bluevistaprod.com/";"bluvista";14;202;6.93;12.2
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio 3d lyon";12;1146;1.05;18.8
"https://www.bluevistaprod.com/agence/";"bluevista production";10;317;3.15;1.0
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"web tv live";10;555;1.80;8.5
"https://www.bluevistaprod.com/agence/";"bluevista";8;754;1.06;1.4
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"web tv streaming";8;136;5.88;13.6
"https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/";"verizon connect";7;4844;0.14;5.8
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"webtv live";6;276;2.17;8.9
"https://www.bluevistaprod.com/nos-realisations/";"blue vista";6;267;2.25;1.6
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio animation 3d lyon";6;301;1.99;11.7
"https://www.bluevistaprod.com/";"agence vidéo";5;7138;0.07;24.2
"https://www.bluevistaprod.com/";"blu vista";5;9;55.56;2.8
"https://www.bluevistaprod.com/contact-devis/";"bluevista production";5;299;1.67;1.1
"https://www.bluevistaprod.com/nos-realisations/";"bluevista";5;707;0.71;1.8
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio d'animation lyon";5;336;1.49;11.2
"https://www.bluevistaprod.com/studio-animation-3d-paris/";"studio 3d paris";5;1396;0.36;15.8
"https://www.bluevistaprod.com/";"production audiovisuelle geneve";4;45;8.89;4.0
"https://www.bluevistaprod.com/nos-competences/video-mapping/";"mapping lyon";4;136;2.94;8.1
"https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/";"expercite";4;532;0.75;6.0
