page;clics;impressions;ctr;position
"https://www.bluevistaprod.com/";785;31884;2.46;25.4
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";161;14830;1.09;26.2
"https://www.bluevistaprod.com/nos-competences/video-mapping/";97;13340;0.73;18.6
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";85;3753;2.26;10.2
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";63;10135;0.62;11.0
"https://www.bluevistaprod.com/studio-animation-3d-paris/";54;17952;0.30;30.7
"https://www.bluevistaprod.com/agence/";36;3008;1.20;5.1
"https://www.bluevistaprod.com/nos-competences/animation-3d/";23;1805;1.27;34.1
"https://www.bluevistaprod.com/contact-devis/";18;1083;1.66;3.4
"https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/";17;6474;0.26;7.1
"https://www.bluevistaprod.com/nos-realisations/";15;1758;0.85;3.9
"https://www.bluevistaprod.com/nos-competences/motion-design/";14;9312;0.15;61.7
"https://www.bluevistaprod.com/realisation-film-entreprise-lyon/";14;13485;0.10;32.4
"https://www.bluevistaprod.com/video-publicitaire/";14;29507;0.05;25.6
"https://www.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/";13;714;1.82;6.7
"https://www.bluevistaprod.com/mentions-legales/";12;1026;1.17;3.7
"https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/";11;3062;0.36;7.2
"https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/";11;7507;0.15;8.3
"https://www.bluevistaprod.com/nos-competences/aftermovie-captation-evenementielle/";10;7502;0.13;21.3
"https://www.bluevistaprod.com/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/";9;710;1.27;30.2
"https://www.bluevistaprod.com/actualites/video-immersive-360/";9;3364;0.27;13.6
"https://www.bluevistaprod.com/nos-competences/creation-immersive-realite-virtuelle/";9;1795;0.50;51.6
"https://www.bluevistaprod.com/nos-realisations/printemps-nouvelle-identite/";9;179;5.03;13.0
"https://www.bluevistaprod.com/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/";8;619;1.29;25.7
"https://www.bluevistaprod.com/actualites/animation-3d-grande-arche-de-la-defense/";7;332;2.11;15.1
"https://www.bluevistaprod.com/nos-realisations/amplitude-amplivision/";6;650;0.92;13.0
"https://www.bluevistaprod.com/realisation-film-sante/";6;2941;0.20;14.5
"https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2023/";5;2398;0.21;7.5
"https://www.bluevistaprod.com/actualites/author/guillaume/page/4/";4;42;9.52;16.2
"https://www.bluevistaprod.com/actualites/carte-de-voeux-video/";4;2220;0.18;34.6
"https://www.bluevistaprod.com/nos-competences/studio-fond-vert-compositing/";4;799;0.50;24.6
"https://www.bluevistaprod.com/nos-realisations/qwartz/";4;220;1.82;15.8
"https://www.bluevistaprod.com/nos-realisations/tetro-grand-hotel-dieu/";4;219;1.83;14.1
