country;clics;impressions;ctr;position
"fra";1445;172748;0.84;24.3
"bel";33;5853;0.56;29.4
"che";33;7188;0.46;35.4
"mar";12;1048;1.15;13.3
"esp";10;518;1.93;21.7
"can";8;3105;0.26;46.4
"tun";6;330;1.82;12.4
"deu";5;1664;0.30;20.7
"dza";4;664;0.60;16.8
"bfa";3;52;5.77;9.8
"gbr";3;1159;0.26;32.5
"lux";3;149;2.01;14.5
"nld";3;624;0.48;24.2
"reu";3;174;1.72;8.4
"civ";2;181;1.10;11.8
"cmr";2;85;2.35;11.9
"isr";2;98;2.04;21.7
"ita";2;513;0.39;22.1
"mtq";2;197;1.02;38.1
"ner";2;20;10.00;6.0
"sen";2;226;0.88;12.1
"usa";2;6534;0.03;25.2
"aus";1;186;0.54;34.1
"ben";1;76;1.32;10.0
"cyp";1;6;16.67;6.7
"dji";1;6;16.67;7.5
"egy";1;192;0.52;25.2
"gab";1;44;2.27;10.7
"gin";1;19;5.26;8.2
"glp";1;354;0.28;47.4
"ind";1;799;0.13;28.9
"kor";1;275;0.36;28.3
"mdg";1;165;0.61;14.4
"mex";1;306;0.33;23.3
"mus";1;51;1.96;10.6
"nga";1;46;2.17;18.6
"per";1;69;1.45;18.4
"prt";1;167;0.60;21.5
"abw";0;2;0.00;5.0
"afg";0;4;0.00;15.5
"ago";0;16;0.00;16.1
"ala";0;1;0.00;7.0
"alb";0;22;0.00;26.3
"and";0;13;0.00;11.2
"are";0;78;0.00;20.6
"arg";0;825;0.00;24.8
"arm";0;11;0.00;24.5
"atg";0;1;0.00;15.0
"aut";0;183;0.00;16.6
"aze";0;33;0.00;12.1
"bdi";0;5;0.00;14.6
"bgd";0;214;0.00;29.0
"bgr";0;80;0.00;23.1
"bhr";0;19;0.00;27.8
"bhs";0;4;0.00;4.5
"bih";0;22;0.00;21.3
"blr";0;34;0.00;19.3
"blz";0;5;0.00;9.0
"bol";0;47;0.00;32.2
"bra";0;1685;0.00;26.4
"brb";0;3;0.00;11.3
"brn";0;2;0.00;62.0
"btn";0;2;0.00;18.0
"caf";0;5;0.00;6.6
"chl";0;179;0.00;22.7
"chn";0;33;0.00;16.9
"cod";0;167;0.00;7.5
"cog";0;36;0.00;10.9
"col";0;432;0.00;28.8
"com";0;10;0.00;7.7
"cpv";0;3;0.00;33.7
"cri";0;70;0.00;29.5
"cub";0;3;0.00;15.3
"cuw";0;3;0.00;41.7
"cym";0;2;0.00;14.5
"cze";0;83;0.00;21.8
"dnk";0;63;0.00;14.2
"dom";0;85;0.00;25.9
"ecu";0;171;0.00;31.3
"esh";0;13;0.00;6.8
"est";0;38;0.00;17.1
"eth";0;27;0.00;23.6
"fin";0;31;0.00;13.0
"fji";0;1;0.00;10.0
"fro";0;1;0.00;16.0
"geo";0;21;0.00;25.2
"gha";0;23;0.00;12.7
"gnb";0;2;0.00;10.0
"gnq";0;1;0.00;1.0
"grc";0;120;0.00;20.7
"gtm";0;47;0.00;34.1
"guf";0;22;0.00;6.8
"guy";0;8;0.00;24.1
"hkg";0;63;0.00;14.6
"hnd";0;37;0.00;32.2
"hrv";0;26;0.00;14.1
"hti";0;87;0.00;9.9
"hun";0;169;0.00;24.7
"idn";0;567;0.00;25.5
"imn";0;1;0.00;16.0
"irl";0;177;0.00;17.6
"irn";0;53;0.00;23.1
"irq";0;55;0.00;23.2
"isl";0;3;0.00;5.7
"jam";0;35;0.00;15.4
"jey";0;1;0.00;7.0
"jor";0;50;0.00;26.4
"jpn";0;326;0.00;17.0
"kaz";0;46;0.00;24.3
"ken";0;28;0.00;15.1
"kgz";0;5;0.00;8.2
"khm";0;389;0.00;10.6
"kwt";0;10;0.00;21.4
"lao";0;1;0.00;9.0
"lbn";0;25;0.00;20.9
"lbr";0;2;0.00;7.0
"lby";0;6;0.00;24.5
"lka";0;14;0.00;19.9
"lso";0;4;0.00;10.5
"ltu";0;39;0.00;25.1
"lva";0;16;0.00;28.9
"mac";0;1;0.00;16.0
"maf";0;47;0.00;3.4
"mco";0;28;0.00;9.1
"mda";0;16;0.00;22.8
"mdv";0;3;0.00;4.3
"mkd";0;15;0.00;17.5
"mli";0;39;0.00;8.4
"mlt";0;8;0.00;6.8
"mmr";0;18;0.00;21.3
"mne";0;4;0.00;6.5
"mng";0;4;0.00;8.3
"moz";0;3;0.00;5.3
"mrt";0;13;0.00;8.5
"mwi";0;3;0.00;5.3
"mys";0;113;0.00;23.4
"myt";0;388;0.00;7.0
"nam";0;4;0.00;12.0
"ncl";0;22;0.00;9.4
"nic";0;16;0.00;23.9
"nor";0;103;0.00;13.1
"npl";0;22;0.00;29.0
"nzl";0;81;0.00;22.6
"omn";0;27;0.00;17.9
"pak";0;169;0.00;24.8
"pan";0;61;0.00;22.9
"phl";0;618;0.00;30.5
"png";0;1;0.00;11.0
"pol";0;146;0.00;25.2
"pri";0;3;0.00;31.3
"pry";0;73;0.00;25.4
"pse";0;11;0.00;23.1
"pyf";0;41;0.00;8.1
"qat";0;18;0.00;17.8
"rou";0;222;0.00;22.6
"rus";0;245;0.00;26.4
"rwa";0;3;0.00;9.7
"sau";0;151;0.00;20.5
"sgp";0;71;0.00;25.7
"slv";0;32;0.00;39.0
"smr";0;2;0.00;20.0
"som";0;1;0.00;9.0
"srb";0;31;0.00;14.9
"sur";0;2;0.00;9.0
"svk";0;41;0.00;15.2
"svn";0;5;0.00;9.8
"swe";0;150;0.00;17.4
"swz";0;1;0.00;13.0
"sxm";0;20;0.00;4.5
"syc";0;3;0.00;4.0
"syr";0;11;0.00;19.7
"tcd";0;14;0.00;6.9
"tgo";0;46;0.00;11.1
"tha";0;79;0.00;24.0
"tjk";0;1;0.00;25.0
"tto";0;7;0.00;22.4
"tur";0;304;0.00;17.4
"twn";0;42;0.00;16.4
"tza";0;9;0.00;12.9
"uga";0;4;0.00;6.8
