query;clics;impressions;ctr;position
"bluevista";281;945;29.74;3.6
"bluevista production";136;355;38.31;2.2
"blue vista";87;371;23.45;4.4
"webtv streaming";34;1946;1.75;6.5
"studio animation lyon";20;798;2.51;10.5
"bluvista";14;213;6.57;14.3
"studio 3d lyon";12;1147;1.05;18.8
"web tv live";10;555;1.80;8.5
"web tv streaming";8;136;5.88;13.6
"verizon connect";7;4844;0.14;5.8
"studio animation 3d lyon";6;304;1.97;12.0
"webtv live";6;276;2.17;8.9
"agence vidéo";5;7887;0.06;23.3
"blu vista";5;9;55.56;2.8
"studio 3d paris";5;1396;0.36;15.8
"studio d'animation lyon";5;340;1.47;11.1
"dosamat";4;131;3.05;3.8
"expercite";4;532;0.75;6.0
"mapping lyon";4;141;2.84;9.0
"production audiovisuelle geneve";4;45;8.89;4.0
"thermostat engie home service";4;282;1.42;8.6
"bluevista lyon";3;5;60.00;1.0
"expercité";3;1320;0.23;5.8
"streaming webtv";3;11;27.27;4.2
"studio animation 3d";3;2361;0.13;28.8
"studio animation 3d paris";3;1624;0.18;18.1
"agence 3d paris";2;731;0.27;20.3
"agence production audiovisuelle geneve";2;207;0.97;3.0
"amplivision";2;154;1.30;7.0
"audiovisuel geneve";2;30;6.67;9.8
"live web tv";2;30;6.67;8.9
"plateforme web tv";2;47;4.26;12.7
"production audiovisuelle genève";2;128;1.56;6.2
"production video geneve";2;68;2.94;37.2
"stann";2;10384;0.02;7.0
"stann app";2;311;0.64;5.2
"studio animation paris";2;1458;0.14;30.7
"studio d'animation 3d paris";2;438;0.46;12.1
"verizon connect france";2;313;0.64;11.4
"verizone";2;294;0.68;7.0
"video mapping lyon";2;117;1.71;4.6
"vidéo immersive";2;1452;0.14;9.9
"web tv live streaming";2;17;11.76;4.4
"360 immersion";1;1;100.00;10.0
"3d animation studio";1;636;0.16;35.1
"aftermovie";1;1924;0.05;10.9
"aftermovie video";1;14;7.14;24.3
"agence audiovisuelle genève";1;221;0.45;4.1
"agence audiovisuelle suisse";1;235;0.43;4.4
"agence communication video lyon";1;204;0.49;16.4
"agence de vidéo";1;28;3.57;28.6
"agence film d'entreprise";1;91;1.10;39.3
"animation 3d entreprise";1;98;1.02;32.2
"animation 3d lyon";1;415;0.24;20.1
"animation 3d studio";1;13;7.69;31.1
"application stan";1;5;20.00;9.6
"blueverse";1;7;14.29;6.7
"bluvista tv";1;16;6.25;28.6
"boite de prod";1;34;2.94;32.2
"creation video immersive";1;127;0.79;11.6
"deko film";1;5;20.00;4.0
