site;type;ancienne_adresse;nouvelle_adresse;code;clics_12m;motif
fr;page;/;/;200;785;accueil
fr;page;/studio-animation-3d-lyon/;/studio-animation-3d-lyon/;200;161;ville, adresse conservée
fr;page;/nos-competences/video-mapping/;/savoir-faire/video-mapping/;301;97;savoir-faire — seul le segment change
fr;page;/nos-competences/live-streaming-webtv/;/savoir-faire/live-streaming-webtv/;301;85;savoir-faire — seul le segment change
fr;réalisation;/nos-realisations/engie-home-services-video-thermostat-migo/;/realisations/engie-home-services-video-tuto-thermostat-migo/;301;63;apparié sur le titre — sûr
fr;page;/studio-animation-3d-paris/;/studio-animation-3d-paris/;200;54;ville, adresse conservée
fr;page;/agence/;/agence/;200;36;page fixe
fr;page;/nos-competences/animation-3d/;/savoir-faire/animation-3d/;301;23;savoir-faire — seul le segment change
fr;page;/contact-devis/;/contact/;301;18;page fixe
fr;réalisation;/nos-realisations/verizon-connect-video-de-presentation/;/realisations/verizon-connect-video-de-presentation/;301;17;apparié sur le titre — sûr
fr;page;/nos-realisations/;/realisations/;301;15;index
fr;page;/video-publicitaire/;/offres/film/;301;14;page de produit → pilier
fr;page;/realisation-film-entreprise-lyon/;/realisation-film-entreprise-lyon/;200;14;ville, adresse conservée
fr;page;/nos-competences/motion-design/;/savoir-faire/motion-design/;301;14;savoir-faire — seul le segment change
fr;réalisation;/nos-realisations/thx-medical-dosamat-digital-2-0/;/realisations/thx-medical-dosamat-digital-2-0-motion-design/;301;13;apparié sur le titre — sûr
fr;page;/mentions-legales/;/mentions-legales/;200;12;page fixe
fr;réalisation;/nos-realisations/stann-lapplication-de-gestion-dentreprise/;/realisations/stann-presentation-video-de-l-application/;301;11;apparié sur le titre — ⛔ à vérifier
fr;réalisation;/nos-realisations/eiffage-energie-expercite/;/realisations/eiffage-energie-expercite-video-3d-timelapse/;301;11;apparié sur le titre — sûr
fr;page;/nos-competences/aftermovie-captation-evenementielle/;/savoir-faire/aftermovie-captation-evenementielle/;301;10;savoir-faire — seul le segment change
fr;actualité;/actualites/video-immersive-360/;/actualites/video-immersive-360/;200;9;adresse conservée — c’est une actualité
