ancienne_url;nouvelle_url;code;motif;clics_12m
/;/;301;page fixe;894
/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;175
/studio-animation-3d-lyon/;/studio-animation-3d-lyon/;301;ville — adresse conservée;159
/studio-danimation-3d-a-geneve/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;152
/;/;301;page fixe;135
/nos-competences/video-mapping/;/savoir-faire/video-mapping/;301;savoir-faire — adresse conservée;96
/nos-competences/live-streaming-webtv/;/savoir-faire/live-streaming-webtv/;301;savoir-faire — adresse conservée;85
/nos-realisations/engie-home-services-video-thermostat-migo/;/realisations/engie-home-services-video-tuto-thermostat-migo/;301;réalisation (score 5);61
/studio-animation-3d-paris/;/studio-animation-3d-paris/;301;ville — adresse conservée;54
/agence/;/agence/;301;page fixe;38
/nos-competences/animation-3d/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;31
/nos-competences/motion-design/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;29
/nos-competences/video-mapping/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;29
/our-skills/live-streaming-webtv/;/;301;à trancher;25
/nos-competences/animation-3d/;/savoir-faire/animation-3d/;301;savoir-faire — adresse conservée;24
/contact-devis/;/contact/;301;page fixe;17
/nos-realisations/verizon-connect-video-de-presentation/;/realisations/verizon-connect-video-de-presentation/;301;réalisation (score 2);17
/nos-realisations/;/realisations/;301;page fixe;15
/nos-competences/motion-design/;/savoir-faire/motion-design/;301;savoir-faire — adresse conservée;14
/realisation-film-entreprise-lyon/;/realisation-film-entreprise-lyon/;301;ville — adresse conservée;14
/video-publicitaire/;/;301;à trancher;14
/nos-realisations/thx-medical-dosamat-digital-2-0/;/realisations/thx-medical-dosamat-digital-2-0-motion-design/;301;réalisation (score 3);12
/nos-competences/video-aerienne-drone/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;12
/mentions-legales/;/mentions-legales/;301;page fixe;11
/nos-realisations/eiffage-energie-expercite/;/realisations/eiffage-energie-expercite-video-3d-timelapse/;301;réalisation (score 3);11
/nos-realisations/stann-lapplication-de-gestion-dentreprise/;⚠️ À RATTACHER À LA MAIN;301;sans cible — a du trafic;11
/nos-competences/aftermovie-captation-evenementielle/;/savoir-faire/aftermovie-captation-evenementielle/;301;savoir-faire — adresse conservée;10
/actualites/video-immersive-360/;/realisations/video-immersive-360/;301;réalisation (score 1);9
/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;/realisations/motion-design-sodexo/;301;réalisation (score 2);9
/nos-competences/creation-immersive-realite-virtuelle/;/savoir-faire/creation-immersive-realite-virtuelle/;301;savoir-faire — adresse conservée;9
/realisation-video-geneve/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;9
/nos-realisations/radisson-360-vr/;/realisations/radisson-blu-video-360-vr/;301;réalisation (score 1);8
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;/realisations/tetro-grand-hotel-dieu-video-event/;301;réalisation (score 3);8
/nos-realisations/printemps-nouvelle-identite/;/realisations/printemps-nouvelle-identite-reportage-video-evenement/;301;réalisation (score 3);8
