identifiant_vimeo;url_vimeo;titre_vimeo;duree;etat_vimeo;nb_actualites;actualites;titre_de_la_1re_actualite;date_de_la_1re_actualite;slug_livid;url_livid;embed_actif;introuvable
391522027;https://vimeo.com/391522027;bluevista | Showreel 2020;1:20;public;2;bluevista-video-showreel-2020 | film-dentreprise-video-15-ans-dexperience;Bluevista vidéo Showreel 2020;2020-02-18;;;;
125736086;https://vimeo.com/125736086;Clip Corporate BOS Equipement 2015;1:45;public;2;clip-corporate-bos-equipement | film-dentreprise-video-15-ans-dexperience;Clip Corporate BOS Equipement;2015-04-23;;;;
273331886;https://vimeo.com/273331886;;;public;2;film-de-presentation-produit | stann;Film de présentation produit;2018-12-03;;;;
307515377;https://vimeo.com/307515377;bluevista | Live streaming 2018;0:46;public;2;live-video-homeserve-20ans | streaming-live-et-webtv-demo-2018;Live Vidéo HomeServe – 20ans;2021-06-01;;;;
345493886;https://vimeo.com/345493886;LPA - 50ans;5:44;public;1;50ans-de-lpa-une-histoire-lyonnaise;50ans de LPA, une histoire Lyonnaise;2019-10-24;;;;
298596928;https://vimeo.com/298596928;Clip report Fubiz Talks 2018;3:00;public;1;after-movie-fubiz-talks-2018;After Movie Fubiz Talks 2018;2018-11-07;;;;
276234551;https://vimeo.com/276234551;HITACHI - CSNet manager;2:35;public;1;animation-3d-produit-hitachi-csnet-manager;Animation 3D produit HITACHI CSNet manager;2018-10-31;;;;
851622826;https://vimeo.com/851622826;ARAVI - Castellet - Highlight - J2 - 2023;2:19;public;1;aravi-saison-2022-2023;ARAVI – Saison 2022/2023;2023-12-04;;;;
780750761;https://vimeo.com/780750761;ARTCURIAL - Mapping 20 ans;3:45;public;1;artcurial-20ans;Artcurial : Mapping 20ans;2024-01-01;;;;
405034733;https://vimeo.com/405034733;ICSI - BARPI - Film Accident - Sans Pastille;16:43;public;1;barpi-prevention-accidents;BARPI : Prévention d’accidents industriels;2024-01-29;;;;
547858356;https://vimeo.com/547858356;ICSI - BARPI - Fuite de CVM Gazeux;14:50;public;1;barpi-prevention-accidents;BARPI : Prévention d’accidents industriels;2024-01-29;;;;
413621353;https://vimeo.com/413621353;"bluevista creative | ""La Pizza""";0:41;public;1;bluevista-creative-la-pizza;bluevista creative | « La Pizza »;2020-05-05;;;;
425805139;https://vimeo.com/425805139;"bluevista creative | ""Unicorn Team""";1:24;public;1;bluevista-creative-unicorn-team;bluevista creative | « Unicorn Team »;2020-06-04;;;;
431503714;https://vimeo.com/431503714;"bluevista creative | ""Un monde virtuel #1 : la moto""";0:57;public;1;bluevista-creative-video-un-monde-virtuel-1-la-moto;bluevista creative | vidéo « Un monde virtuel #1 : la moto »;2020-06-25;;;;
417642640;https://vimeo.com/417642640;"bluevista creative | ""Une vraie équipe #1 - la flexibilité""";0:41;public;1;bluevista-creative-video-une-vraie-equipe-1-la-flexibilite;bluevista creative | vidéo « Une vraie équipe #1 – la flexibilité »;2020-05-14;;;;
417642483;https://vimeo.com/417642483;"bluevista creative | ""Une vraie équipe #2 - la diversité""";0:45;public;1;bluevista-creative-video-une-vraie-equipe-2-la-diversite;bluevista creative | vidéo « Une vraie équipe #2 – la diversité »;2020-05-21;;;;
417642356;https://vimeo.com/417642356;"bluevista creative | ""Une vraie équipe #3 - la productivité""";0:44;public;1;bluevista-creative-video-une-vraie-equipe-3-la-productivite;bluevista creative | vidéo « Une vraie équipe #3 – la productivité »;2020-05-28;;;;
917510239;https://vimeo.com/917510239;bluevista | Le Motion-design chez bluevista;0:49;public;1;bluevista-le-motion-design;bluevista – Le motion design, c’est quoi ?;2024-03-05;;;;
551841042;https://vimeo.com/551841042;;;public;1;bluevista-video-showreel-2021;Bluevista vidéo Showreel 2021;2021-02-18;;;;
808253368;https://vimeo.com/808253368;bluevista | Showreel 2023;1:58;public;1;bluevista-video-showreel-2023;Bluevista vidéo Showreel 2023;2023-11-13;;;;
273313919;https://vimeo.com/273313919;AMPLITUDE - Voeux 2018 version EN;2:07;public;1;carte-de-voeux-video;Carte de voeux vidéo;2018-11-26;;;;
273324669;https://vimeo.com/273324669;CPRO Voeux 2017;1:35;public;1;carte-de-voeux-video;Carte de voeux vidéo;2018-11-26;;;;
301877424;https://vimeo.com/301877424;bluevista | Showreel animation 3D;1:01;public;1;decouvrez-notre-nouvelle-bande-demo-3d;Découvrez notre nouvelle bande démo 3D;2018-12-12;;;;
375622738;https://vimeo.com/375622738;GL_EVENTS - EQUITA - Dailynews - Jour5;1:42;public;1;equita-lyon-2019-daily-news;Equita Lyon 2019 – daily news;2019-11-26;;;;
375622318;https://vimeo.com/375622318;GL_EVENTS - EQUITA - Daylynews - Jour2;1:51;public;1;equita-lyon-dailynews;Equita Lyon : Dailynews;2023-12-18;;;;
301829836;https://vimeo.com/301829836;SANTOS : Moulin à café;1:45;public;1;film-de-presentation-produit;Film de présentation produit;2018-12-03;;;;
301829876;https://vimeo.com/301829876;SANTOS : Centrifugeuse;2:51;public;1;film-de-presentation-produit;Film de présentation produit;2018-12-03;;;;
126715306;https://vimeo.com/126715306;C'PRO Groupe - film corporate;1:22;public;1;film-dentreprise-video-15-ans-dexperience;Film d’entreprise – vidéo 15 ans d’expérience;2020-03-25;;;;
126850012;https://vimeo.com/126850012;Amplitude corporate -- WIP;2:10;public;1;film-dentreprise-video-15-ans-dexperience;Film d’entreprise – vidéo 15 ans d’expérience;2020-03-25;;;;
