date,clics,impressions,ctr,position
2025-04-21,6,705,0.85,45.9
2025-04-22,8,723,1.11,40.1
2025-04-23,12,879,1.37,38.4
2025-04-24,12,765,1.57,40.1
2025-04-25,6,796,0.75,42.1
2025-04-26,2,686,0.29,49
2025-04-27,7,784,0.89,46.6
2025-04-28,11,1079,1.02,44.1
2025-04-29,9,854,1.05,39.9
2025-04-30,3,738,0.41,44.4
2025-05-01,0,723,0,45.4
2025-05-02,2,760,0.26,44.5
2025-05-03,2,724,0.28,44.5
2025-05-04,2,859,0.23,40
2025-05-05,12,958,1.25,38.8
2025-05-06,8,987,0.81,33.1
2025-05-07,12,875,1.37,37.7
2025-05-08,5,842,0.59,43.7
2025-05-09,9,892,1.01,39.5
2025-05-10,2,855,0.23,39.1
2025-05-11,1,831,0.12,43.4
2025-05-12,10,1047,0.96,37.8
2025-05-13,14,970,1.44,38.4
2025-05-14,6,950,0.63,40.6
2025-05-15,8,935,0.86,41.5
2025-05-16,7,837,0.84,39.9
2025-05-17,1,756,0.13,42.9
2025-05-18,4,886,0.45,44.9
2025-05-19,8,978,0.82,42.7
2025-05-20,4,952,0.42,43.5
2025-05-21,14,978,1.43,41.5
2025-05-22,5,983,0.51,42.5
2025-05-23,7,903,0.78,42.9
2025-05-24,2,773,0.26,44.9
2025-05-25,1,852,0.12,43.9
2025-05-26,6,1125,0.53,41.6
2025-05-27,10,1227,0.81,43.6
2025-05-28,4,957,0.42,44.1
2025-05-29,6,950,0.63,44.4
2025-05-30,6,934,0.64,44.7
2025-05-31,6,866,0.69,47
2025-06-01,6,937,0.64,47.6
2025-06-02,8,1081,0.74,42
2025-06-03,7,1143,0.61,40.8
2025-06-04,9,1267,0.71,38.7
2025-06-05,4,1368,0.29,37.2
2025-06-06,2,1208,0.17,38.1
2025-06-07,3,871,0.34,45.2
2025-06-08,4,1132,0.35,47.2
2025-06-09,6,1250,0.48,42.8
2025-06-10,6,1083,0.55,40
2025-06-11,5,971,0.51,42.6
2025-06-12,11,1032,1.07,43.7
2025-06-13,6,927,0.65,44.1
2025-06-14,0,908,0,48.7
2025-06-15,3,975,0.31,46.3
2025-06-16,4,1025,0.39,43.4
2025-06-17,11,1036,1.06,41.3
2025-06-18,6,1008,0.6,41
2025-06-19,6,978,0.61,42.1
2025-06-20,8,930,0.86,42.8
2025-06-21,2,883,0.23,47
2025-06-22,2,883,0.23,44.9
2025-06-23,9,904,1,42.5
2025-06-24,2,1016,0.2,42.1
2025-06-25,12,975,1.23,41.4
2025-06-26,13,1106,1.18,43
2025-06-27,6,1021,0.59,43.4
2025-06-28,2,1063,0.19,39.4
2025-06-29,6,1144,0.52,39.7
2025-06-30,10,1145,0.87,42.9
2025-07-01,6,1160,0.52,43.2
2025-07-02,2,1138,0.18,41.9
2025-07-03,7,1032,0.68,43
2025-07-04,5,1094,0.46,43.9
2025-07-05,1,939,0.11,46.3
2025-07-06,3,1045,0.29,45.5
2025-07-07,7,1271,0.55,40.3
2025-07-08,9,1166,0.77,42
2025-07-09,6,1339,0.45,41.8
2025-07-10,6,1181,0.51,44.4
2025-07-11,6,1267,0.47,42
2025-07-12,1,1133,0.09,45.2
2025-07-13,1,1026,0.1,44.4
2025-07-14,1,951,0.11,45.9
2025-07-15,5,1070,0.47,41.5
2025-07-16,7,1020,0.69,42.6
