page,clics,impressions,ctr,position
https://www.bluevistaprod.com/,1024,51049,2.01,34.1
https://www.bluevistaprod.com/studio-animation-3d-lyon/,214,21256,1.01,26.6
http://www.bluevistaprod.com/,184,5169,3.56,9.8
https://en.bluevistaprod.com/,181,9863,1.84,8.4
https://www.bluevistaprod.com/nos-competences/video-mapping/,121,15601,0.78,18.9
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,105,5954,1.76,20.7
https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,72,10791,0.67,12.1
https://www.bluevistaprod.com/studio-animation-3d-paris/,72,23751,0.3,33.5
https://www.bluevistaprod.com/agence/,47,4224,1.11,9.2
https://www.bluevistaprod.com/nos-competences/animation-3d/,40,4550,0.88,42
https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,26,1173,2.22,11.7
https://www.bluevistaprod.com/contact-devis/,20,1384,1.45,3.5
https://www.bluevistaprod.com/nos-competences/motion-design/,20,19123,0.1,70.2
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,20,9797,0.2,11.4
https://www.bluevistaprod.com/nos-realisations/,19,2244,0.85,4.1
https://www.bluevistaprod.com/nos-competences/aftermovie-captation-evenementielle/,18,10279,0.18,21.9
https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,18,3948,0.46,6.9
https://www.bluevistaprod.com/realisation-film-entreprise-lyon/,18,22120,0.08,41.7
https://www.bluevistaprod.com/video-publicitaire/,16,37035,0.04,29.6
https://www.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/,15,857,1.75,7.5
https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,14,9197,0.15,8.3
https://www.bluevistaprod.com/actualites/sport-boules-16eme-trophee-emile-terrier/,13,807,1.61,9.1
https://www.bluevistaprod.com/mentions-legales/,13,1370,0.95,4.5
https://www.bluevistaprod.com/nos-competences/creation-immersive-realite-virtuelle/,13,3171,0.41,51.9
https://www.bluevistaprod.com/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/,12,892,1.35,31.6
https://www.bluevistaprod.com/actualites/video-immersive-360/,12,4252,0.28,17.3
https://en.bluevistaprod.com/nos-realisations/radisson-360-vr/,10,367,2.72,9.2
https://www.bluevistaprod.com/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/,9,671,1.34,25.6
https://www.bluevistaprod.com/nos-realisations/printemps-nouvelle-identite/,9,203,4.43,17.1
https://www.bluevistaprod.com/realisation-film-sante/,9,3529,0.26,15.7
https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2023/,8,3094,0.26,11
https://www.bluevistaprod.com/nos-realisations/amplitude-amplivision/,8,883,0.91,18.1
https://www.bluevistaprod.com/actualites/animation-3d-grande-arche-de-la-defense/,7,394,1.78,19.4
https://en.bluevistaprod.com/nos-realisations/hitachi-cs-net/,6,982,0.61,12.5
https://www.bluevistaprod.com/film-d-entreprise-paris-15-ans-d-experience/,6,10368,0.06,33.1
https://en.bluevistaprod.com/3d-animation-studio-in-paris/,5,940,0.53,25.4
https://en.bluevistaprod.com/actualites/gf-machining-solutions-virtual-showroom/,5,86,5.81,12.3
https://en.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/,5,364,1.37,11.5
https://www.bluevistaprod.com/actualites/author/guillaume/page/4/,5,53,9.43,19.9
https://www.bluevistaprod.com/nos-competences/video-aerienne-drone/,5,6270,0.08,43.8
https://www.bluevistaprod.com/actualites/50ans-de-lpa-une-histoire-lyonnaise/,4,281,1.42,15
https://www.bluevistaprod.com/actualites/carte-de-voeux-video/,4,3495,0.11,37.2
https://www.bluevistaprod.com/actualites/guitare-en-scene-2023/,4,846,0.47,17.5
https://www.bluevistaprod.com/actualites/projet-de-realisation-video-360/,4,473,0.85,24.3
https://www.bluevistaprod.com/bluevista-agence-metaverse/,4,7739,0.05,28.9
https://www.bluevistaprod.com/nos-competences/studio-fond-vert-compositing/,4,1314,0.3,24
https://www.bluevistaprod.com/nos-realisations/qwartz/,4,645,0.62,34
https://www.bluevistaprod.com/nos-realisations/tetro-grand-hotel-dieu/,4,227,1.76,13.9
https://www.bluevistaprod.com/video-promotionnelle/,4,2140,0.19,12.4
https://en.bluevistaprod.com/actualites/barpi-industrial-accident-prevention/,3,5341,0.06,6.9
https://en.bluevistaprod.com/actualites/getlive-tv-3-0-wbe-tv-according-to-bluevista/,3,79,3.8,7.4
https://en.bluevistaprod.com/nos-realisations/amplitude-amplivision/,3,659,0.46,7.1
https://www.bluevistaprod.com/actualites/barpi-prevention-accidents/,3,262,1.15,13.8
https://www.bluevistaprod.com/actualites/blueverse/,3,50,6,8.3
https://www.bluevistaprod.com/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/,3,285,1.05,20.7
https://www.bluevistaprod.com/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/,3,373,0.8,19
https://www.bluevistaprod.com/nos-realisations/artcurial-mapping/,3,208,1.44,47.6
https://www.bluevistaprod.com/realisation-video-geneve/,3,3035,0.1,33
https://en.bluevistaprod.com/actualites/360-immersive-video/,2,109,1.83,34.9
https://en.bluevistaprod.com/nos-realisations/opiiec/,2,48,4.17,7.3
https://en.bluevistaprod.com/nos-realisations/pisten-bully-360-vr-snowcat/,2,464,0.43,9.1
https://en.bluevistaprod.com/nos-realisations/santos-i-grind-coffee-grinder-reveal/,2,59,3.39,17.6
https://en.bluevistaprod.com/our-skills/3d-animation/,2,224,0.89,30.3
https://en.bluevistaprod.com/our-skills/immersive-creation-virtual-reality/,2,314,0.64,22.9
https://www.bluevistaprod.com/actualites/animation-3d-produit-hitachi-csnet-manager/,2,404,0.5,12.4
https://www.bluevistaprod.com/actualites/bluevista-le-motion-design/,2,410,0.49,34.7
https://www.bluevistaprod.com/actualites/category/videomapping/,2,162,1.23,55
https://www.bluevistaprod.com/actualites/koesio-carte-de-voeux-2023/,2,1932,0.1,42.8
https://www.bluevistaprod.com/actualites/mase-4-motions/,2,538,0.37,25.8
https://www.bluevistaprod.com/actualites/showroom-virtuel-gf-machining-solutions/,2,527,0.38,42.3
https://www.bluevistaprod.com/nos-realisations/arrow-abox-memo/,2,192,1.04,18.4
https://www.bluevistaprod.com/nos-realisations/bluevista-showreel-2025/,2,526,0.38,6.9
https://www.bluevistaprod.com/nos-realisations/hitachi-cs-net/,2,1266,0.16,10.7
https://www.bluevistaprod.com/nos-realisations/hitachi-yutaki/,2,233,0.86,41.1
https://www.bluevistaprod.com/nos-realisations/irisolaris-aftermovie-irisdays-2024/,2,17,11.76,6.5
https://www.bluevistaprod.com/nos-realisations/koesio-convention-2024/,2,17,11.76,4.8
https://www.bluevistaprod.com/nos-realisations/mapping-audi/,2,122,1.64,14.5
https://www.bluevistaprod.com/nos-realisations/pisten-bully-dameuse-360-vr/,2,290,0.69,19.1
https://www.bluevistaprod.com/nos-realisations/radisson-360-vr/,2,342,0.58,28
https://www.bluevistaprod.com/realisation-film-lancement-produit/,2,3096,0.06,33.5
https://en.bluevistaprod.com/actualites/50-years-of-lpa-a-lyonnaise-story/,1,74,1.35,9.9
https://en.bluevistaprod.com/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/,1,155,0.65,13.2
https://en.bluevistaprod.com/actualites/santos-i-grind-the-coffee-mill/,1,54,1.85,9.6
https://en.bluevistaprod.com/actualites/sport-boules-16th-emile-terrier-trophy/,1,99,1.01,7.5
