query,clics,impressions,ctr,position
bluevista,459,6302,7.28,5
bluevista production,188,465,40.43,2
blue vista,137,1293,10.6,9.1
webtv streaming,42,2603,1.61,7.3
studio animation lyon,28,1136,2.46,10.3
bluvista,24,508,4.72,21
web tv live,17,809,2.1,8.6
studio 3d lyon,16,1879,0.85,14.4
studio animation 3d lyon,13,413,3.15,11.3
expercité,10,1726,0.58,5.3
webtv live,10,484,2.07,10.1
verizon connect,8,6389,0.13,5.6
boite de production lyon,8,500,1.6,30.7
web tv streaming,8,196,4.08,17.7
studio 3d paris,7,1966,0.36,16.4
blu vista,6,15,40,2.7
agence vidéo,5,11965,0.04,39.6
expercite,5,671,0.75,6
studio d'animation lyon,5,539,0.93,10.1
dosamat,5,277,1.81,4.9
studio animation 3d,4,3259,0.12,32.7
studio animation 3d paris,4,2154,0.19,19.2
vidéo immersive,4,1563,0.26,10.1
thermostat engie home service,4,309,1.29,8.8
plateforme web tv,4,208,1.92,8.5
mapping lyon,4,184,2.17,10.7
live web tv,4,173,2.31,7.9
production audiovisuelle geneve,4,63,6.35,4.8
barpi,3,4940,0.06,6.9
3d animation studio,3,1103,0.27,29
verizon connect france,3,522,0.57,10.4
amplivision,3,443,0.68,6.1
streaming webtv,3,32,9.38,8
blueverse,3,26,11.54,6.5
bluevista lyon,3,5,60,1
stann,2,12576,0.02,6.9
studio animation paris,2,1975,0.1,33.4
agence 3d paris,2,1087,0.18,19
animation 3d lyon,2,673,0.3,18.3
studio d'animation 3d paris,2,455,0.44,12.5
stann app,2,366,0.55,5.2
production audiovisuelle genève,2,330,0.61,6.2
verizone,2,295,0.68,7.1
agence production audiovisuelle geneve,2,244,0.82,3.3
hitachi animation,2,229,0.87,7.8
agence production lyon,2,162,1.23,32.2
video mapping lyon,2,142,1.41,4.8
agence audiovisuelle lyon,2,105,1.9,76.4
production video geneve,2,86,2.33,38.2
emile terrier,2,80,2.5,7.1
agence de vidéo,2,63,3.17,45.5
audiovisuel geneve,2,47,4.26,11.6
web tv live streaming,2,33,6.06,5.4
deko film,2,14,14.29,9.3
société de production,2,5,40,3.2
aftermovie,1,2843,0.04,12.7
publicité vidéo,1,1787,0.06,44.5
verizon,1,1217,0.08,34.6
studio motion design,1,959,0.1,72.7
