page,query,clics,impressions,ctr,position
https://www.bluevistaprod.com/,bluevista,341,1123,30.37,2.7
https://www.bluevistaprod.com/,bluevista production,146,431,33.87,1.6
https://www.bluevistaprod.com/,blue vista,105,501,20.96,5.9
https://en.bluevistaprod.com/,bluevista,76,5306,1.43,5.5
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,webtv streaming,36,2038,1.77,6.5
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation lyon,27,1128,2.39,10.3
https://www.bluevistaprod.com/,bluvista,24,462,5.19,20.5
http://www.bluevistaprod.com/,bluevista,20,1081,1.85,7.6
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,web tv live,17,803,2.12,8.5
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio 3d lyon,16,1876,0.85,14.5
http://www.bluevistaprod.com/,bluevista production,16,395,4.05,7.3
https://en.bluevistaprod.com/,blue vista,15,809,1.85,11.5
https://www.bluevistaprod.com/agence/,bluevista,13,967,1.34,1.5
https://www.bluevistaprod.com/agence/,bluevista production,12,408,2.94,1
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation 3d lyon,12,389,3.08,11.1
https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,expercité,10,1722,0.58,5.3
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizon connect,8,6385,0.13,5.6
http://www.bluevistaprod.com/,blue vista,8,407,1.97,10.9
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,web tv streaming,8,189,4.23,17.2
http://www.bluevistaprod.com/,boite de production lyon,8,68,11.76,7.8
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio 3d paris,7,1890,0.37,16.3
https://www.bluevistaprod.com/nos-realisations/,bluevista,6,910,0.66,1.7
https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,webtv streaming,6,572,1.05,10.1
https://www.bluevistaprod.com/contact-devis/,bluevista production,6,383,1.57,1
https://www.bluevistaprod.com/nos-realisations/,blue vista,6,371,1.62,1.4
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,webtv live,6,347,1.73,10.8
https://en.bluevistaprod.com/,bluevista production,6,85,7.06,1.3
https://www.bluevistaprod.com/,blu vista,6,13,46.15,3.2
https://www.bluevistaprod.com/,agence vidéo,5,11184,0.04,41.1
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio d'animation lyon,5,527,0.95,10.1
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation 3d,4,2366,0.17,38.3
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio animation 3d paris,4,2068,0.19,19.4
https://www.bluevistaprod.com/actualites/video-immersive-360/,vidéo immersive,4,1563,0.26,10.1
https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,expercite,4,634,0.63,6
https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,thermostat engie home service,4,308,1.3,8.8
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,plateforme web tv,4,208,1.92,8.5
https://www.bluevistaprod.com/nos-competences/video-mapping/,mapping lyon,4,177,2.26,9.4
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,live web tv,4,172,2.33,7.3
https://www.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/,dosamat,4,160,2.5,4.1
https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,webtv live,4,138,2.9,8.4
https://www.bluevistaprod.com/,production audiovisuelle geneve,4,63,6.35,4.8
https://en.bluevistaprod.com/actualites/barpi-industrial-accident-prevention/,barpi,3,4874,0.06,6.8
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizon connect france,3,522,0.57,10.4
https://www.bluevistaprod.com/agence/,blue vista,3,389,0.77,1.5
https://www.bluevistaprod.com/actualites/blueverse/,blueverse,3,25,12,6.4
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,streaming webtv,3,15,20,4.1
https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,stann,2,5612,0.04,7.2
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio animation paris,2,1920,0.1,32.6
https://www.bluevistaprod.com/studio-animation-3d-paris/,agence 3d paris,2,1087,0.18,19
https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2023/,bluevista,2,889,0.22,3.1
https://www.bluevistaprod.com/realisation-film-entreprise-lyon/,bluevista,2,658,0.3,1.1
https://www.bluevistaprod.com/studio-animation-3d-paris/,3d animation studio,2,606,0.33,35.4
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio d'animation 3d paris,2,454,0.44,12.4
https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,stann app,2,357,0.56,5.4
https://www.bluevistaprod.com/,production audiovisuelle genève,2,328,0.61,5.9
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizone,2,295,0.68,7.1
https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2023/,bluevista production,2,273,0.73,4.2
