page,query,clics,impressions,ctr,position
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,webtv streaming,36,2038,1.77,6.5
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation lyon,27,1128,2.39,10.3
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,web tv live,17,803,2.12,8.5
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio 3d lyon,16,1876,0.85,14.5
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation 3d lyon,12,389,3.08,11.1
https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,expercité,10,1722,0.58,5.3
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizon connect,8,6385,0.13,5.6
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,web tv streaming,8,189,4.23,17.2
http://www.bluevistaprod.com/,boite de production lyon,8,68,11.76,7.8
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio 3d paris,7,1890,0.37,16.3
https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,webtv streaming,6,572,1.05,10.1
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,webtv live,6,347,1.73,10.8
https://www.bluevistaprod.com/,blu vista,6,13,46.15,3.2
https://www.bluevistaprod.com/,agence vidéo,5,11184,0.04,41.1
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio d'animation lyon,5,527,0.95,10.1
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation 3d,4,2366,0.17,38.3
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio animation 3d paris,4,2068,0.19,19.4
https://www.bluevistaprod.com/actualites/video-immersive-360/,vidéo immersive,4,1563,0.26,10.1
https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,expercite,4,634,0.63,6
https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,thermostat engie home service,4,308,1.3,8.8
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,plateforme web tv,4,208,1.92,8.5
https://www.bluevistaprod.com/nos-competences/video-mapping/,mapping lyon,4,177,2.26,9.4
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,live web tv,4,172,2.33,7.3
https://www.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/,dosamat,4,160,2.5,4.1
https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,webtv live,4,138,2.9,8.4
https://www.bluevistaprod.com/,production audiovisuelle geneve,4,63,6.35,4.8
https://en.bluevistaprod.com/actualites/barpi-industrial-accident-prevention/,barpi,3,4874,0.06,6.8
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizon connect france,3,522,0.57,10.4
https://www.bluevistaprod.com/actualites/blueverse/,blueverse,3,25,12,6.4
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,streaming webtv,3,15,20,4.1
https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,stann,2,5612,0.04,7.2
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio animation paris,2,1920,0.1,32.6
https://www.bluevistaprod.com/studio-animation-3d-paris/,agence 3d paris,2,1087,0.18,19
https://www.bluevistaprod.com/studio-animation-3d-paris/,3d animation studio,2,606,0.33,35.4
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio d'animation 3d paris,2,454,0.44,12.4
https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,stann app,2,357,0.56,5.4
https://www.bluevistaprod.com/,production audiovisuelle genève,2,328,0.61,5.9
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizone,2,295,0.68,7.1
https://www.bluevistaprod.com/,agence production audiovisuelle geneve,2,237,0.84,2.9
https://en.bluevistaprod.com/nos-realisations/hitachi-cs-net/,hitachi animation,2,227,0.88,7.8
https://www.bluevistaprod.com/nos-realisations/amplitude-amplivision/,amplivision,2,200,1,7.1
https://www.bluevistaprod.com/nos-competences/video-mapping/,video mapping lyon,2,130,1.54,4.3
https://www.bluevistaprod.com/,agence de vidéo,2,61,3.28,46.7
https://www.bluevistaprod.com/actualites/sport-boules-16eme-trophee-emile-terrier/,emile terrier,2,58,3.45,7.4
https://www.bluevistaprod.com/,audiovisuel geneve,2,47,4.26,11.6
https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,web tv live streaming,2,32,6.25,5
https://www.bluevistaprod.com/,production video geneve,2,30,6.67,17.4
http://www.bluevistaprod.com/,agence audiovisuelle lyon,2,18,11.11,18.3
http://www.bluevistaprod.com/,société de production,2,5,40,3.2
http://www.bluevistaprod.com/,agence production lyon,2,2,100,31
https://www.bluevistaprod.com/nos-competences/aftermovie-captation-evenementielle/,aftermovie,1,2843,0.04,12.7
https://www.bluevistaprod.com/video-publicitaire/,publicité vidéo,1,1787,0.06,44.5
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio animation 3d,1,1482,0.07,39.7
https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,verizon,1,1217,0.08,34.6
https://www.bluevistaprod.com/nos-competences/motion-design/,studio motion design,1,959,0.1,72.7
https://www.bluevistaprod.com/studio-animation-3d-paris/,studio d'animation paris,1,869,0.12,30.3
https://www.bluevistaprod.com/nos-competences/studio-fond-vert-compositing/,studio fond vert lyon,1,765,0.13,24.2
https://www.bluevistaprod.com/nos-competences/video-mapping/,video mapping paris,1,680,0.15,11.8
https://www.bluevistaprod.com/studio-animation-3d-lyon/,animation 3d lyon,1,666,0.15,18.2
https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,thermostat engie,1,558,0.18,9.9
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio animation,1,499,0.2,46.8
https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,expercité eiffage,1,461,0.22,7
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio d'animation 3d,1,429,0.23,19.2
https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,thermostat connecté engie,1,408,0.25,15.5
https://www.bluevistaprod.com/studio-animation-3d-lyon/,studio 3d animation,1,367,0.27,27.3
https://www.bluevistaprod.com/nos-competences/studio-fond-vert-compositing/,fond vert lyon,1,356,0.28,15.1
https://www.bluevistaprod.com/studio-animation-3d-paris/,studios d'animation paris,1,336,0.3,28.8
https://www.bluevistaprod.com/studio-animation-3d-lyon/,3d animation studio,1,301,0.33,20.4
https://www.bluevistaprod.com/,agence communication video lyon,1,299,0.33,13.9
https://www.bluevistaprod.com/nos-competences/creation-immersive-realite-virtuelle/,creation video immersive,1,295,0.34,10.7
https://en.bluevistaprod.com/nos-realisations/amplitude-amplivision/,amplivision,1,288,0.35,5.7
https://www.bluevistaprod.com/,agence audiovisuelle genève,1,216,0.46,3.7
https://www.bluevistaprod.com/,agence audiovisuelle suisse,1,211,0.47,3.7
https://www.bluevistaprod.com/nos-competences/motion-design/,agence animation 2d,1,191,0.52,30.6
https://www.bluevistaprod.com/actualites/guitare-en-scene-2023/,guitare en scene 2023,1,175,0.57,8.7
https://www.bluevistaprod.com/nos-competences/video-mapping/,video mapping geneve,1,163,0.61,11.7
https://www.bluevistaprod.com/,prod video,1,159,0.63,32.6
https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,thermostat migo saunier duval,1,147,0.68,10
https://www.bluevistaprod.com/studio-animation-3d-lyon/,film 3d lyon,1,137,0.73,9.6
