country,device,page,clics,impressions,ctr,position
fra,DESKTOP,https://www.bluevistaprod.com/,439,23417,1.87,32.3
fra,MOBILE,https://www.bluevistaprod.com/,166,4032,4.12,24.9
fra,DESKTOP,http://www.bluevistaprod.com/,61,1500,4.07,12.9
fra,DESKTOP,https://www.bluevistaprod.com/studio-animation-3d-lyon/,48,9754,0.49,30.1
fra,MOBILE,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,27,1525,1.77,12.9
fra,DESKTOP,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,25,1212,2.06,16.9
fra,MOBILE,https://www.bluevistaprod.com/studio-animation-3d-lyon/,25,2097,1.19,27.4
fra,DESKTOP,https://www.bluevistaprod.com/studio-animation-3d-paris/,22,14436,0.15,32.1
fra,DESKTOP,https://en.bluevistaprod.com/,20,240,8.33,2.2
fra,MOBILE,https://www.bluevistaprod.com/agence/,16,485,3.3,1.6
deu,MOBILE,https://en.bluevistaprod.com/,11,1785,0.62,4.8
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/,10,967,1.03,1.7
che,DESKTOP,https://www.bluevistaprod.com/,9,946,0.95,46.9
fra,DESKTOP,https://www.bluevistaprod.com/agence/,9,1501,0.6,5.4
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,8,928,0.86,6.1
che,DESKTOP,https://en.bluevistaprod.com/,7,74,9.46,31.9
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,7,6091,0.11,7.1
fra,MOBILE,http://www.bluevistaprod.com/,7,782,0.9,3.7
fra,MOBILE,https://en.bluevistaprod.com/,7,52,13.46,1.2
bel,DESKTOP,https://www.bluevistaprod.com/,6,534,1.12,52.6
bel,MOBILE,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,6,428,1.4,7.6
deu,DESKTOP,https://en.bluevistaprod.com/,6,1191,0.5,8
esp,DESKTOP,https://en.bluevistaprod.com/,6,48,12.5,6.3
fra,MOBILE,https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,6,1736,0.35,6.2
fra,MOBILE,https://www.bluevistaprod.com/nos-realisations/verizon-connect-video-de-presentation/,6,2004,0.3,7.8
che,MOBILE,https://www.bluevistaprod.com/,5,125,4,23.6
fra,DESKTOP,https://www.bluevistaprod.com/contact-devis/,5,378,1.32,2.1
fra,DESKTOP,https://www.bluevistaprod.com/nos-competences/video-mapping/,5,8436,0.06,20.8
fra,DESKTOP,https://www.bluevistaprod.com/actualites/video-immersive-360/,4,1571,0.25,17.1
fra,DESKTOP,https://www.bluevistaprod.com/nos-competences/motion-design/,4,8057,0.05,68.1
fra,MOBILE,https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,4,4202,0.1,9.6
fra,TABLET,https://www.bluevistaprod.com/,4,28,14.29,31.8
ind,MOBILE,https://en.bluevistaprod.com/,4,207,1.93,6.2
tun,DESKTOP,https://www.bluevistaprod.com/,4,44,9.09,47.7
bel,MOBILE,https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,3,283,1.06,8.3
chn,DESKTOP,https://en.bluevistaprod.com/,3,61,4.92,4.4
esp,MOBILE,https://en.bluevistaprod.com/,3,34,8.82,3.9
esp,MOBILE,https://www.bluevistaprod.com/,3,22,13.64,23
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/thx-medical-dosamat-digital-2-0/,3,368,0.82,7.2
fra,MOBILE,https://www.bluevistaprod.com/nos-realisations/,3,435,0.69,1.7
fra,MOBILE,https://www.bluevistaprod.com/realisation-film-entreprise-lyon/,3,791,0.38,36.4
fra,TABLET,https://www.bluevistaprod.com/actualites/blueverse/,3,5,60,6.8
ind,DESKTOP,https://en.bluevistaprod.com/,3,139,2.16,11.3
mar,MOBILE,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,3,64,4.69,8.2
aus,DESKTOP,https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,2,8,25,10.6
aut,MOBILE,https://en.bluevistaprod.com/,2,63,3.17,3.4
bel,DESKTOP,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,2,228,0.88,7.6
bih,MOBILE,https://en.bluevistaprod.com/,2,2,100,1
bra,MOBILE,https://en.bluevistaprod.com/,2,32,6.25,6.1
can,DESKTOP,https://en.bluevistaprod.com/,2,44,4.55,11.7
che,DESKTOP,https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2023/,2,82,2.44,7.6
fra,DESKTOP,https://www.bluevistaprod.com/nos-competences/aftermovie-captation-evenementielle/,2,3921,0.05,18.9
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/amplitude-amplivision/,2,173,1.16,24.9
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/,2,3096,0.06,17.5
fra,DESKTOP,https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,2,4151,0.05,7.7
fra,DESKTOP,https://www.bluevistaprod.com/realisation-film-entreprise-lyon/,2,7839,0.03,46.6
fra,MOBILE,https://www.bluevistaprod.com/actualites/sport-boules-16eme-trophee-emile-terrier/,2,79,2.53,6.1
fra,MOBILE,https://www.bluevistaprod.com/mentions-legales/,2,197,1.02,1.3
fra,MOBILE,https://www.bluevistaprod.com/nos-competences/video-mapping/,2,922,0.22,21.1
fra,MOBILE,https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/,2,1299,0.15,9.8
gbr,MOBILE,https://en.bluevistaprod.com/,2,65,3.08,5.9
ind,MOBILE,https://en.bluevistaprod.com/nos-realisations/hitachi-cs-net/,2,173,1.16,7.8
ind,MOBILE,https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,2,39,5.13,8
mar,DESKTOP,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,2,30,6.67,11
mtq,MOBILE,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,2,13,15.38,6.7
mus,MOBILE,https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/,2,4,50,8.3
usa,MOBILE,https://en.bluevistaprod.com/our-skills/live-streaming-webtv/,2,197,1.02,11
are,MOBILE,https://en.bluevistaprod.com/,1,11,9.09,6.2
aus,MOBILE,https://en.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/,1,4,25,3.5
bel,DESKTOP,https://www.bluevistaprod.com/nos-competences/video-mapping/,1,15,6.67,36.4
bel,DESKTOP,https://www.bluevistaprod.com/studio-animation-3d-lyon/,1,111,0.9,58.2
bel,MOBILE,https://www.bluevistaprod.com/,1,22,4.55,58.6
ben,MOBILE,https://www.bluevistaprod.com/,1,7,14.29,3
