date,clics,impressions,ctr,position
2025-10-05,6,174,3.45,10.8
2025-06-04,5,444,1.13,20.3
2026-03-04,5,175,2.86,20.1
2026-04-02,5,170,2.94,19.9
2025-12-11,5,168,2.98,13.7
2026-04-05,5,162,3.09,21.5
2025-11-13,5,157,3.18,9.9
2025-11-18,5,139,3.6,9.2
2026-03-18,5,132,3.79,21.5
2025-09-09,4,322,1.24,23
2026-06-25,4,294,1.36,38.7
2026-06-29,4,258,1.55,40.7
2025-05-13,4,250,1.6,32.4
2026-01-12,4,226,1.77,13.6
2025-10-23,4,225,1.78,12.3
2026-03-13,4,209,1.91,17.9
2026-05-13,4,193,2.07,30.2
2026-05-18,4,192,2.08,22.4
2026-05-06,4,191,2.09,27.5
2025-07-28,4,173,2.31,26.4
2025-07-29,4,169,2.37,25.3
2026-01-23,4,163,2.45,16.5
2025-11-20,4,162,2.47,10.4
2026-01-20,4,162,2.47,19.5
2025-11-05,4,160,2.5,9.7
2026-04-08,4,148,2.7,22.8
2026-02-12,4,134,2.99,24.1
2026-02-16,4,108,3.7,16.6
2026-03-26,4,99,4.04,21.3
2025-06-05,3,444,0.68,25
2026-08-11,3,368,0.82,48.5
2025-06-19,3,363,0.83,21.2
2025-06-23,3,284,1.06,26.6
2025-06-16,3,274,1.09,22.4
2025-06-30,3,270,1.11,31.2
2025-05-14,3,251,1.2,31.6
2026-05-19,3,243,1.23,35.5
2025-05-15,3,237,1.27,32.2
2026-06-01,3,237,1.27,31.6
2025-07-22,3,231,1.3,25.8
2025-08-21,3,224,1.34,19.5
2025-06-26,3,222,1.35,31
2026-08-05,3,214,1.4,40.4
2025-10-24,3,208,1.44,12.3
2025-10-28,3,203,1.48,11.8
2026-01-14,3,196,1.53,21
2026-01-22,3,187,1.6,17.9
2025-09-23,3,179,1.68,12.1
2026-01-15,3,172,1.74,16
2025-09-30,3,169,1.78,12.1
2026-04-30,3,169,1.78,20.9
2025-12-16,3,167,1.8,18.1
2025-09-22,3,163,1.84,15.1
2025-11-09,3,162,1.85,11.8
2025-10-12,3,157,1.91,12.3
2025-11-17,3,156,1.92,10.4
2026-01-28,3,139,2.16,18.2
2026-04-27,3,133,2.26,22
2025-09-24,3,131,2.29,13.6
2025-12-04,3,128,2.34,12.1
2026-01-11,3,128,2.34,16.9
2026-03-25,3,121,2.48,18.2
2026-02-18,3,106,2.83,18.8
2025-06-07,2,431,0.46,22.6
2025-06-09,2,424,0.47,25.1
2025-06-10,2,386,0.52,24
2026-07-08,2,361,0.55,40.1
2026-07-01,2,346,0.58,36.3
2025-06-03,2,322,0.62,25.5
2026-06-23,2,307,0.65,38.9
2025-06-01,2,293,0.68,29.2
2025-05-30,2,284,0.7,27.2
2025-06-13,2,281,0.71,25.6
2025-05-31,2,279,0.72,28.1
2026-06-17,2,264,0.76,36
2025-06-18,2,263,0.76,22.8
2025-07-07,2,263,0.76,30.6
2026-07-06,2,263,0.76,41.9
2026-08-12,2,260,0.77,44
2026-07-16,2,258,0.78,41.3
2026-06-22,2,249,0.8,39.7
2025-06-15,2,247,0.81,24.1
2026-07-27,2,242,0.83,40.4
2026-07-30,2,242,0.83,41.3
2025-07-03,2,240,0.83,31.5
2026-07-17,2,240,0.83,37.3
2025-07-08,2,238,0.84,27.4
2026-07-05,2,238,0.84,40.5
