page,clics,impressions,ctr,position
https://www.bluevista.ch/,199,50620,0.39,26.2
https://www.bluevista.ch/studio-danimation-3d-a-geneve/,168,6607,2.54,17.6
https://www.bluevista.ch/nos-competences/animation-3d/,57,2056,2.77,27
http://www.bluevista.ch/,36,1455,2.47,10.5
https://www.bluevista.ch/nos-competences/motion-design/,35,6156,0.57,19.3
https://www.bluevista.ch/nos-competences/video-mapping/,35,960,3.65,12.8
https://www.bluevista.ch/nos-competences/video-aerienne-drone/,15,2291,0.65,17.8
https://www.bluevista.ch/nos-competences/live-streaming-webtv/,11,5603,0.2,31.1
https://www.bluevista.ch/realisation-video-geneve/,10,10656,0.09,43.5
https://www.bluevista.ch/agence/,5,4314,0.12,54.4
https://www.bluevista.ch/nos-competences/video-corporate-film-dentreprise/,3,10441,0.03,39.9
https://www.bluevista.ch/nos-competences/studio-fond-vert-compositing/,3,75,4,26.2
https://www.bluevista.ch/nos-competences/aftermovie-captation-evenementielle/,2,4594,0.04,45.4
https://www.bluevista.ch/mentions-legales/,2,277,0.72,6.1
https://www.bluevista.ch/bluevista-agence-metaverse/,2,218,0.92,46.3
https://www.bluevista.ch/nos-realisations/,2,160,1.25,8.8
https://www.bluevista.ch/actualites/,1,1261,0.08,49.4
https://www.bluevista.ch/nos-competences/,1,441,0.23,38.6
https://www.bluevista.ch/contact-devis/,1,396,0.25,19.1
https://www.bluevista.ch/nos-competences/creation-immersive-realite-virtuelle/,1,198,0.51,56.6
https://www.bluevista.ch/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/,1,1,100,4
https://www.bluevista.ch/nos-realisations/araymond-share/,1,1,100,3
https://www.bluevista.ch/actualites/category/animation_3d-ch/,0,40,0,46.8
https://www.bluevista.ch/actualites/tag/creation-ch/,0,27,0,7.6
https://www.bluevista.ch/nos-realisations/wall-mapping-les-mesaventures-de-toky/,0,27,0,54.4
https://www.bluevista.ch/actualites/category/tournage-studio-ch/,0,19,0,26.1
https://www.bluevista.ch/actualites/category/reportage-ch/,0,16,0,19.8
https://www.bluevista.ch/actualites/author/guillaume/page/3/,0,8,0,19.5
https://www.bluevista.ch/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/,0,8,0,41.5
https://www.bluevista.ch/actualites/category/videomapping-ch/,0,6,0,6.3
https://www.bluevista.ch/actualites/tag/borne-interactive-ch/,0,6,0,33
https://www.bluevista.ch/actualites/tag/site-ch/,0,6,0,21.3
https://www.bluevista.ch/actualites/tag/technique-ch/,0,6,0,7.8
https://www.bluevista.ch/nos-realisations/elistair-orion/,0,6,0,9.2
https://www.bluevista.ch/actualites/category/video-360-vr-ch/,0,5,0,37.8
https://www.bluevista.ch/nos-realisations/cpro-film-corpo/,0,5,0,8.2
https://www.bluevista.ch/actualites/category/interview-ch/,0,4,0,10
https://www.bluevista.ch/nos-realisations/abb-snk-3d-marine/,0,4,0,49.8
https://www.bluevista.ch/nos-realisations/amplitude-voeux-2018/,0,4,0,15
https://www.bluevista.ch/actualites/film-dentreprise-video-15-ans-dexperience/,0,2,0,9.5
https://www.bluevista.ch/actualites/tag/services-ch/,0,2,0,10
https://www.bluevista.ch/actualites/timelapse-de-tournage-en-studio/,0,2,0,4.5
https://www.bluevista.ch/competences/motion-design/,0,2,0,4
https://www.bluevista.ch/nos-realisations/gf-gs/,0,2,0,4
https://www.bluevista.ch/actualites/author/guillaume/page/2/,0,1,0,3
https://www.bluevista.ch/actualites/category/video-panoramique-ch/,0,1,0,47
https://www.bluevista.ch/actualites/clip-corporate-bos-equipement/,0,1,0,1
https://www.bluevista.ch/actualites/social-wall-pour-espace-vip/,0,1,0,39
https://www.bluevista.ch/nos-realisations/cpro-voeux-2017/,0,1,0,30
https://www.bluevista.ch/nos-realisations/e-xpert-solutions-aftermovie-ecd-2023/,0,1,0,10
https://www.bluevista.ch/video-publicitaire/,0,1,0,1
