query,clics,impressions,ctr,position
bluevista,53,267,19.85,5.2
studio d'animation suisse,18,269,6.69,7.9
studio animation suisse,5,217,2.3,8.6
bluevista production,5,51,9.8,16.7
blue vista,4,58,6.9,13.8
studio 3d animation,3,24,12.5,26.8
motion design geneve,2,363,0.55,19.9
motion design genève,2,182,1.1,15.6
webtv streaming,2,158,1.27,4.7
studio d'animation 3d,2,9,22.22,13.4
production video geneve,1,960,0.1,14.3
geneva video production,1,868,0.12,34
agence de production vidéo,1,735,0.14,20.6
film d entreprise,1,643,0.16,42.7
videaste geneve,1,432,0.23,14.8
agence de production genève,1,394,0.25,22.1
agence video,1,355,0.28,7.2
agence de production audiovisuelle,1,318,0.31,23.4
agence vidéo suisse romande,1,315,0.32,5.5
video mapping geneve,1,85,1.18,34
video mapping,1,69,1.45,7.1
studio animation 3d,1,44,2.27,36.8
motion designer,1,38,2.63,19.1
studio 3d,1,32,3.13,6.4
bluvista,1,16,6.25,22.3
studio film animation,1,9,11.11,9
3d animation agentur,1,4,25,45.8
boite de production audiovisuel,1,2,50,11
video drone,1,2,50,10
2 d,1,1,100,6
film animation studio,1,1,100,11
video production geneva,0,1243,0,35.2
captation streaming suisse,0,1153,0,35.1
film d'entreprise,0,1150,0,69.2
montage video genève,0,1010,0,9.7
live streaming entreprise suisse,0,996,0,22
video corporate entreprise,0,972,0,14.4
live streaming entreprise geneve,0,913,0,19.6
captation vidéo suisse,0,898,0,53.1
audiovisuel genève,0,875,0,25.4
captation conférences suisse,0,858,0,36.2
agence motion design,0,844,0,13.1
captation live spectacle geneve,0,842,0,39.7
film entreprise,0,828,0,37.6
audiovisual geneva,0,815,0,35.4
captation live conférence geneve,0,792,0,36.2
captation live concert geneve,0,777,0,39.6
société de production audiovisuelle genève,0,764,0,22.5
captation live suisse,0,748,0,43.2
création de vidéos genève,0,738,0,9.9
réalisation vidéo genève,0,694,0,9.7
société réalisation film genève,0,682,0,36.6
agence création vidéo,0,679,0,8.1
prestataire video,0,636,0,14.8
société de production vidéo genève,0,635,0,20.8
webstreaming suisse,0,632,0,34.2
agence vidéo,0,629,0,11.3
société production vidéo,0,629,0,26.8
agence de motion design,0,627,0,10.5
video production agency geneva,0,614,0,42.5
vidéo entreprise,0,599,0,24.4
boite de production genève,0,583,0,25.5
société de production vidéo,0,577,0,33.2
production audiovisuelle genève,0,571,0,22.3
production vidéo genève,0,563,0,19.4
videaste suisse,0,553,0,40.6
production video suisse,0,546,0,23.6
agence audiovisuel,0,520,0,19.9
agence de video,0,499,0,11.2
agence production vidéo,0,494,0,15.6
boite de prod genève,0,487,0,30.6
agence production vidéo genève,0,484,0,11.3
production company geneva,0,478,0,61
société production vidéo genève,0,473,0,14.4
agence de production vidéo genève,0,472,0,15.2
boite de production vidéo,0,472,0,32.8
agence de réalisation vidéo,0,470,0,7
agence live streaming,0,464,0,44
realisation video suisse,0,451,0,7.9
corporate video production,0,439,0,63.3
entreprise audiovisuel genève,0,437,0,19.6
vidéo production genève,0,427,0,24.5
agence audiovisuelle suisse,0,421,0,21.9
agence réalité virtuelle,0,419,0,34.6
société audiovisuelle genève,0,418,0,15.7
agence d'audiovisuel,0,417,0,15.9
production video entreprise,0,413,0,55.3
agence montage vidéo,0,408,0,13.1
studio de motion design,0,399,0,22.9
entreprise audiovisuel,0,397,0,40.8
vidéaste genève,0,397,0,22.7
video production services geneva,0,395,0,49.9
agence video genève,0,393,0,9.7
société production audiovisuelle genève,0,392,0,19.5
agence production audiovisuelle,0,387,0,31.4
corporate video geneva,0,386,0,22.7
video studio geneva,0,383,0,35.6
video agency geneva,0,381,0,38.2
videographer geneva,0,374,0,43.9
motion design agence,0,359,0,17.3
réalisation vidéo,0,348,0,28.5
production vidéo suisse,0,346,0,29
video aérienne,0,344,0,12
agence audiovisuelle,0,343,0,33.8
boite production genève,0,341,0,31.6
video aerienne,0,340,0,12.1
film d'entreprise geneve,0,334,0,8.3
société de production audiovisuelle suisse,0,334,0,31
production vidéo entreprise,0,332,0,40.7
devis motion design,0,325,0,29.9
production audiovisuelle à genève,0,314,0,14.5
production audiovisuelle geneve,0,310,0,14.1
corporate video service,0,307,0,49.5
agence video animation,0,300,0,12.3
audiovisual agency,0,293,0,55.9
captation vidéo geneve,0,291,0,25.3
agence de création vidéo,0,285,0,7.1
société production audiovisuelle suisse,0,282,0,35.9
réalisation vidéo entreprise,0,279,0,34.4
entreprise motion design,0,266,0,10.8
corporate film,0,260,0,56.2
société audiovisuel,0,260,0,37.6
film corporate entreprise,0,258,0,16.7
agence de montage video,0,256,0,50.8
animation & visualisation 3d à genève,0,252,0,6.1
motion design suisse,0,245,0,22.6
agence d audiovisuel,0,240,0,7.9
agence vidéo de luxe genève,0,240,0,11.4
